Year,지역,Value
2012,범주17_경남,2.1
2012,범주18_제주,2.5
2013,범주01_전국,1.7
2013,범주02_서울,1.2
2013,범주03_부산,1.8
2013,범주04_대구,1.6
2013,범주05_인천,1.7
2013,범주06_광주,1.7
2013,범주07_대전,1.9
2013,범주08_울산,1.8
2013,범주09_세종,1.7
2013,범주10_경기,1.4
2013,범주11_강원,2.4
2013,범주12_충북,2.2
2013,범주13_충남,2.4
2013,범주14_전북,2.3
2013,범주15_전남,2.9
2013,범주16_경북,2.4
2013,범주17_경남,1.8
2013,범주18_제주,2.6
2014,범주01_전국,1.6
2014,범주02_서울,1
2014,범주03_부산,1.5
2014,범주04_대구,1.3
2014,범주05_인천,1.7
2014,범주06_광주,1.7
2014,범주07_대전,1.8
2014,범주08_울산,1.3
2014,범주09_세종,1.7
2014,범주10_경기,1.3
2014,범주11_강원,2
2014,범주12_충북,2
2014,범주13_충남,2.3
2014,범주14_전북,2.5
2014,범주15_전남,2.6
2014,범주16_경북,2.4
2014,범주17_경남,1.5
2014,범주18_제주,2.7
2015,범주01_전국,1.4
2015,범주02_서울,1
2015,범주03_부산,1.4
2015,범주04_대구,1.1
2015,범주05_인천,1.6
2015,범주06_광주,1.4
2015,범주07_대전,1.8
2015,범주08_울산,1.6
2015,범주09_세종,1.3
2015,범주10_경기,1.1
2015,범주11_강원,2.1
2015,범주12_충북,2
2015,범주13_충남,2
2015,범주14_전북,1.9
2015,범주15_전남,2.1
2015,범주16_경북,1.7
2015,범주17_경남,1.7
2015,범주18_제주,2.7
2016,범주01_전국,1.3
2016,범주02_서울,0.9
2016,범주03_부산,1.5
2016,범주04_대구,0.9
2016,범주05_인천,1.4
2016,범주06_광주,1.4
2016,범주07_대전,1.4
2016,범주08_울산,1.3
2016,범주09_세종,1.1
2016,범주10_경기,1
2016,범주11_강원,1.5
2016,범주12_충북,1.6
2016,범주13_충남,2
2016,범주14_전북,1.5
2016,범주15_전남,2
2016,범주16_경북,1.4
2016,범주17_경남,1.2
2016,범주18_제주,2.3
2017,범주01_전국,1
2017,범주02_서울,0.7
2017,범주03_부산,1.1
2017,범주04_대구,0.8
2017,범주05_인천,1.2
2017,범주06_광주,1.2
2017,범주07_대전,1.5
2017,범주08_울산,1.1
2017,범주09_세종,0.8
2017,범주10_경기,0.8
2017,범주11_강원,1.4
2017,범주12_충북,1.5
2017,범주13_충남,1.8
2017,범주14_전북,1.3
2017,범주15_전남,1.8
2017,범주16_경북,1.1
2017,범주17_경남,1.1
2017,범주18_제주,1.6
2018,범주01_전국,0.9
2018,범주02_서울,0.6
2018,범주03_부산,1.1
2018,범주04_대구,0.7
2018,범주05_인천,1.2
2018,범주06_광주,1
2018,범주07_대전,1.3
2018,범주08_울산,0.8
2018,범주09_세종,1.2
2018,범주10_경기,0.7
2018,범주11_강원,1.2
2018,범주12_충북,1.3
2018,범주13_충남,1.3
2018,범주14_전북,1.1
2018,범주15_전남,1.6
2018,범주16_경북,1.2
2018,범주17_경남,1.1
2018,범주18_제주,1.1
2019,범주01_전국,0.8
2019,범주02_서울,0.5
2019,범주03_부산,0.8
2019,범주04_대구,0.6
2019,범주05_인천,1
2019,범주06_광주,0.8
2019,범주07_대전,0.7
2019,범주08_울산,0.9
2019,범주09_세종,0.7
2019,범주10_경기,0.7
2019,범주11_강원,1.3
2019,범주12_충북,1.5
2019,범주13_충남,1.4
2019,범주14_전북,1.1
2019,범주15_전남,1.2
2019,범주16_경북,1
2019,범주17_경남,1
2019,범주18_제주,1.1
