Year,data.Sex,Value
2010,,3.7
2010,data.Male,4.0
2010,data.Female,3.3
2011,,3.4
2011,data.Male,3.6
2011,data.Female,3.1
2012,,3.2
2012,data.Male,3.4
2012,data.Female,3.0
2013,,3.1
2013,data.Male,3.3
2013,data.Female,2.8
2014,,3.5
2014,data.Male,3.5
2014,data.Female,3.5
2015,,3.6
2015,data.Male,3.6
2015,data.Female,3.5
2016,,3.7
2016,data.Male,3.8
2016,data.Female,3.6
2017,,3.7
2017,data.Male,3.8
2017,data.Female,3.5
2018,,3.8
2018,data.Male,3.9
2018,data.Female,3.7
2019,,3.8
2019,data.Male,3.9
2019,data.Female,3.7
2020,,4.0
2020,data.Male,3.9
2020,data.Female,4.0
