Year,경지규모별,Value
2016,ㄷ) 0.5-1.0ha,15.0
2016,ㄹ) 1.0-1.5ha,18.0
2016,ㅁ) 1.5-2.0ha,18.0
2016,ㅂ) 2.0-3.0ha,24.0
2016,ㅅ) 3.0-5.0ha,27.0
2016,ㅇ) 5.0-7.0ha,31.0
2016,ㅈ) 7.0-10.0ha,42.0
2016,ㅊ) 10.0ha 이상,33.0
2017,ㄱ) 전체,27.0
2017,ㄴ) 0.5ha 미만,8.0
2017,ㄷ) 0.5-1.0ha,16.0
2017,ㄹ) 1.0-1.5ha,19.0
2017,ㅁ) 1.5-2.0ha,20.0
2017,ㅂ) 2.0-3.0ha,26.0
2017,ㅅ) 3.0-5.0ha,29.0
2017,ㅇ) 5.0-7.0ha,41.0
2017,ㅈ) 7.0-10.0ha,42.0
2017,ㅊ) 10.0ha 이상,42.0
2018,ㄱ) 전체,24.0
2018,ㄴ) 0.5ha 미만,8.0
2018,ㄷ) 0.5-1.0ha,13.0
2018,ㄹ) 1.0-1.5ha,14.0
2018,ㅁ) 1.5-2.0ha,18.0
2018,ㅂ) 2.0-3.0ha,22.0
2018,ㅅ) 3.0-5.0ha,29.0
2018,ㅇ) 5.0-7.0ha,28.0
2018,ㅈ) 7.0-10.0ha,39.0
2018,ㅊ) 10.0ha 이상,45.0
2019,ㄱ) 전체,22.2
2019,ㄴ) 0.5ha 미만,7.0
2019,ㄷ) 0.5-1.0ha,12.0
2019,ㄹ) 1.0-1.5ha,13.0
2019,ㅁ) 1.5-2.0ha,16.0
2019,ㅂ) 2.0-3.0ha,20.0
2019,ㅅ) 3.0-5.0ha,25.0
2019,ㅇ) 5.0-7.0ha,30.0
2019,ㅈ) 7.0-10.0ha,32.0
2019,ㅊ) 10.0ha 이상,44.0
