Year,경지규모별,Value
2003,,16727
2003,범주01_0.5ha 미만,2211
2003,범주02_0.5~1.0ha,4154
2003,범주03_1.0~1.5ha,9312
2003,범주04_1.5~2.0ha,12899
2003,범주05_2.0~3.0ha,15224
2003,범주06_3.0~5.0ha,16324
2003,범주07_5.0~7.0ha,20405
2003,범주08_7.0~10.0ha,34633
2003,범주09_10.0ha 이상,35376
2004,,19051
2004,범주01_0.5ha 미만,3633
2004,범주02_0.5~1.0ha,6318
2004,범주03_1.0~1.5ha,8817
2004,범주04_1.5~2.0ha,12336
2004,범주05_2.0~3.0ha,17398
2004,범주06_3.0~5.0ha,19798
2004,범주07_5.0~7.0ha,23025
2004,범주08_7.0~10.0ha,35639
2004,범주09_10.0ha 이상,44490
2005,,16676
2005,범주01_0.5ha 미만,3634
2005,범주02_0.5~1.0ha,6062
2005,범주03_1.0~1.5ha,9706
2005,범주04_1.5~2.0ha,13581
2005,범주05_2.0~3.0ha,16627
2005,범주06_3.0~5.0ha,19610
2005,범주07_5.0~7.0ha,22303
2005,범주08_7.0~10.0ha,30201
2005,범주09_10.0ha 이상,28354
2006,,17828
2006,범주01_0.5ha 미만,3374
2006,범주02_0.5~1.0ha,5167
2006,범주03_1.0~1.5ha,10202
2006,범주04_1.5~2.0ha,13737
2006,범주05_2.0~3.0ha,17406
2006,범주06_3.0~5.0ha,22086
2006,범주07_5.0~7.0ha,19927
2006,범주08_7.0~10.0ha,28237
2006,범주09_10.0ha 이상,40310
2007,,15458
2007,범주01_0.5ha 미만,2385
2007,범주02_0.5~1.0ha,5692
2007,범주03_1.0~1.5ha,8510
2007,범주04_1.5~2.0ha,11864
2007,범주05_2.0~3.0ha,13362
2007,범주06_3.0~5.0ha,19185
2007,범주07_5.0~7.0ha,22851
2007,범주08_7.0~10.0ha,20671
2007,범주09_10.0ha 이상,34601
2008,,16348
2008,범주01_0.5ha 미만,2396
2008,범주02_0.5~1.0ha,5209
2008,범주03_1.0~1.5ha,8351
2008,범주04_1.5~2.0ha,11858
2008,범주05_2.0~3.0ha,15370
2008,범주06_3.0~5.0ha,18144
2008,범주07_5.0~7.0ha,19439
2008,범주08_7.0~10.0ha,42839
2008,범주09_10.0ha 이상,23526
