Year,data.category,Value
2005,,15
2005,data.First_publication,9
2005,data.Accumulated_publication,6
2006,,25
2006,data.First_publication,13
2006,data.Accumulated_publication,12
2007,,40
2007,data.First_publication,23
2007,data.Accumulated_publication,17
2008,,62
2008,data.First_publication,24
2008,data.Accumulated_publication,38
2009,,75
2009,data.First_publication,29
2009,data.Accumulated_publication,46
2010,,90
2010,data.First_publication,34
2010,data.Accumulated_publication,56
2011,,103
2011,data.First_publication,27
2011,data.Accumulated_publication,76
2012,,112
2012,data.First_publication,27
2012,data.Accumulated_publication,85
2013,,130
2013,data.First_publication,21
2013,data.Accumulated_publication,109
2014,,127
2014,data.First_publication,16
2014,data.Accumulated_publication,111
2015,,132
2015,data.First_publication,17
2015,data.Accumulated_publication,115
2016,,122
2016,data.First_publication,14
2016,data.Accumulated_publication,108
2017,,133
2017,data.First_publication,18
2017,data.Accumulated_publication,115
2018,,133
2018,data.First_publication,16
2018,data.Accumulated_publication,117
2019,,135
2019,data.First_publication,13
2019,data.Accumulated_publication,122
2020,,138
2020,data.First_publication,18
2020,data.Accumulated_publication,120
2021,,48
2021,data.First_publication,9
2021,data.Accumulated_publication,39
