Year,Bounds,Value
2000,LB,46
2000,MP,49
2000,UB,53
2001,LB,78
2001,MP,84
2001,UB,89
2002,LB,73
2002,MP,78
2002,UB,83
2003,LB,76
2003,MP,82
2003,UB,88
2004,LB,71
2004,MP,77
2004,UB,82
2005,LB,88
2005,MP,94
2005,UB,101
2006,LB,86
2006,MP,92
2006,UB,99
2007,LB,85
2007,MP,91
2007,UB,98
2008,LB,82
2008,MP,88
2008,UB,94
2009,LB,87
2009,MP,94
2009,UB,100
2010,LB,89
2010,MP,95
2010,UB,102
2011,LB,93
2011,MP,99
2011,UB,106
2012,LB,87
2012,MP,94
2012,UB,100
2013,LB,83
2013,MP,89
2013,UB,95
2014,LB,79
2014,MP,85
2014,UB,91
2015,LB,74
2015,MP,79
2015,UB,85
2016,LB,71
2016,MP,77
2016,UB,82
2017,LB,65
2017,MP,70
2017,UB,75
