Year,성별,Value
2015,,365
2015,남,173
2015,여,190
2015,불상,2
2016,,356
2016,남,162
2016,여,193
2016,불상,1
2017,,301
2017,남,147
2017,여,153
2017,불상,1
2018,,309
2018,남,152
2018,여,154
2018,불상,3
2019,,297
2019,남,138
2019,여,154
2019,불상,5
