Year,data.Sex,Value
2005,,4.2
2005,data.Male,4.3
2005,data.Female,4
2006,,3.8
2006,data.Male,4.1
2006,data.Female,3.5
2007,,3.4
2007,data.Male,3.7
2007,data.Female,3.2
2008,,3.4
2008,data.Male,3.5
2008,data.Female,3.3
2009,,3.2
2009,data.Male,3.3
2009,data.Female,3.1
2010,,3.2
2010,data.Male,3.7
2010,data.Female,2.7
2011,,3
2011,data.Male,3.4
2011,data.Female,2.7
2012,,2.9
2012,data.Male,3.1
2012,data.Female,2.7
2013,,3
2013,data.Male,3.1
2013,data.Female,2.9
2014,,3
2014,data.Male,3.2
2014,data.Female,2.8
2015,,2.7
2015,data.Male,2.9
2015,data.Female,2.5
2016,,2.8
2016,data.Male,3.1
2016,data.Female,2.6
2017,,2.8
2017,data.Male,3.1
2017,data.Female,2.5
2018,,2.8
2018,data.Male,3.2
2018,data.Female,2.5
2019,,2.7
2019,data.Male,3
2019,data.Female,2.4
