Year,Unit measure,Unit multiplier,Observation status,Value
2000,Percentage (%),Units,Undefined,0.8023899999999999
2001,Percentage (%),Units,Undefined,0.84444
2002,Percentage (%),Units,Undefined,0.8408399999999999
2003,Percentage (%),Units,Undefined,0.86106
2004,Percentage (%),Units,Undefined,0.77352
2005,Percentage (%),Units,Undefined,0.57657
2006,Percentage (%),Units,Undefined,0.47697
2007,Percentage (%),Units,Undefined,0.45692
2008,Percentage (%),Units,Undefined,0.6937
2009,Percentage (%),Units,Undefined,0.66327
2010,Percentage (%),Units,Undefined,0.53318
2011,Percentage (%),Units,Undefined,0.54738
2012,Percentage (%),Units,Undefined,0.53737
2013,Percentage (%),Units,Undefined,0.49444
2014,Percentage (%),Units,Undefined,0.46413999999999994
2015,Percentage (%),Units,Undefined,0.46602
2016,Percentage (%),Units,Undefined,0.45971000000000006
2017,Percentage (%),Units,Undefined,0.4066
