Year,지역별,Value
2012,,1.42196104946032
2012,서울,26.268604424729098
2012,부산,9.63463877025486
2012,대구,5.08952058924058
2012,인천,8.08294587711829
2012,광주,5.41753201020024
2012,대전,6.00833160004225
2012,울산,4.78464432335337
2012,세종,5.3603404767534295
2012,경기,2.66517098182785
2012,강원,0.40203053291621405
2012,충북,1.04823745508873
2012,충남,0.910557415722779
2012,전북,0.9055597591118381
2012,전남,0.732051655047119
2012,경북,0.6186914153050821
2012,경남,1.1435121772263102
2012,제주,1.7672110386223603
2013,,1.41942804427964
2013,서울,25.817379311721503
2013,부산,9.73128283369523
2013,대구,5.139284754844481
2013,인천,6.126023815966589
2013,광주,5.74972833732113
2013,대전,6.55159139069149
2013,울산,4.7944713098891905
2013,세종,5.388730735335209
2013,경기,2.69291683560929
2013,강원,0.415275573344414
2013,충북,1.08999678799153
2013,충남,0.905057096921961
2013,전북,0.9358909376428041
2013,전남,0.7383167990056909
2013,경북,0.640879415046138
2013,경남,1.15371655113773
2013,제주,1.7672110386223603
2014,,1.4109468851561102
2014,서울,25.639928702856103
2014,부산,10.6779336217364
2014,대구,5.10223808628224
2014,인천,5.928320609589161
2014,광주,5.7783587380128205
2014,대전,6.486935226057099
2014,울산,4.86292320487052
2014,세종,5.611654199353089
2014,경기,2.5819325268126003
2014,강원,0.422439580092076
2014,충북,1.09610540901507
2014,충남,0.838282763327029
2014,전북,0.931057921628937
2014,전남,0.7660222240630891
2014,경북,0.647918567395299
2014,경남,1.16236072430436
2014,제주,1.44051466027792
2015,,1.40131008802132
2015,서울,25.5416501522189
2015,부산,11.0168790493781
2015,대구,5.07562982384989
2015,인천,6.03248975108448
2015,광주,5.78367973741798
2015,대전,5.94058413278766
2015,울산,4.88728523173989
2015,세종,5.85586033063523
2015,경기,2.90863648981988
2015,강원,0.40370830504410105
2015,충북,0.8225686761299641
2015,충남,0.827891191107147
2015,전북,0.9130083989489249
2015,전남,0.689508143851448
2015,경북,0.6312183291058591
2015,경남,1.11302169072132
2015,제주,1.4402623506134498
2016,,1.40127516774984
2016,서울,25.082823199211997
2016,부산,10.1036398539257
2016,대구,5.00393111365961
2016,인천,5.647226125445419
2016,광주,5.78284408557029
2016,대전,6.01115153368994
2016,울산,4.9817557906913095
2016,세종,5.869431297122341
2016,경기,3.00832083161369
2016,강원,0.40598416793071096
2016,충북,0.8281540458160491
2016,충남,0.8285829133475
2016,전북,0.9008244428325329
2016,전남,0.675576245436582
2016,경북,0.6609908889106559
2016,경남,1.12292920856673
2016,제주,1.4402623506134498
2017,,1.39364899511732
2017,서울,24.9696959196946
2017,부산,9.65304741173128
2017,대구,5.0232180486028
2017,인천,5.4558494371261
2017,광주,5.766781071731759
2017,대전,6.30118282296906
2017,울산,4.94096173188743
2017,세종,5.6822826227706695
2017,경기,3.1009781608045
2017,강원,0.398036392385849
2017,충북,0.8306690182325558
2017,충남,0.7585461309242859
2017,전북,0.900785989933875
2017,전남,0.681221821956207
2017,경북,0.661677307653746
2017,경남,1.1090370541272199
2017,제주,1.32804250536066
2018,,1.3823147902437498
2018,서울,25.135737145360004
2018,부산,8.865319524002391
2018,대구,5.00885985203243
2018,인천,5.66615193440905
2018,광주,5.572838803850441
2018,대전,7.464706876242629
2018,울산,4.9410714776169
2018,세종,5.791606589339841
2018,경기,2.98233012271671
2018,강원,0.393990920632565
2018,충북,0.804252429462608
2018,충남,0.750510258848712
2018,전북,0.8717250196107191
2018,전남,0.714574233030698
2018,경북,0.6679590052954859
2018,경남,1.09875833113755
2018,제주,1.3274247291115802
2019,,1.36485031057531
2019,서울,25.097957081423697
2019,부산,8.174545690631572
2019,대구,5.03469111726437
2019,인천,6.16411837508917
2019,광주,5.57781549158344
2019,대전,7.516383869088651
2019,울산,4.9134360128128
2019,세종,5.91150841699942
2019,경기,2.9492095936181197
2019,강원,0.37474897968579607
2019,충북,0.8084365014562859
2019,충남,0.7354881269155049
2019,전북,0.8863448065094921
2019,전남,0.681450531022875
2019,경북,0.663022643615705
2019,경남,1.0723607040151601
2019,제주,1.31728394683526
