Year,Value
2000,85.87245
2001,86.68383
2002,87.62764
2003,88.70062
2004,89.77834
2005,90.83481
2006,91.85084
2007,92.84331
2008,93.81222
2009,94.75758
2010,95.67938000000001
2011,96.57762
2012,97.45231
2013,98.29455
2014,98.97389
2015,99.62491999999999
2016,99.86111
2017,99.90431
