Year,Units,Type of product,Value
2008,Tonnes per capita,WOD,0.1727
2009,Tonnes per capita,BIM,1.56158
2009,Tonnes per capita,COL,2.14173
2009,Tonnes per capita,CPR,0.14093
2009,Tonnes per capita,CRO,0.93606
2009,Tonnes per capita,FEO,0.95003
2009,Tonnes per capita,FOF,4.74703
2009,Tonnes per capita,GAS,0.53074
2009,Tonnes per capita,GBO,0.31552
2009,Tonnes per capita,MEO,1.11684
2009,Tonnes per capita,NFO,0.95003
2009,Tonnes per capita,NMA,0.21909
2009,Tonnes per capita,NMC,8.36765
2009,Tonnes per capita,NMM,8.48761
2009,Tonnes per capita,PET,2.07456
2009,Tonnes per capita,RAW,15.91306
2009,Tonnes per capita,WCH,0.04908
2009,Tonnes per capita,WOD,0.15229
2010,Tonnes per capita,BIM,1.51263
2010,Tonnes per capita,COL,2.44797
2010,Tonnes per capita,CPR,0.11914
2010,Tonnes per capita,CRO,0.9006
2010,Tonnes per capita,FEO,1.23568
2010,Tonnes per capita,FOF,5.27587
2010,Tonnes per capita,GAS,0.68616
2010,Tonnes per capita,GBO,0.28216
2010,Tonnes per capita,MEO,1.41969
2010,Tonnes per capita,NFO,1.23568
2010,Tonnes per capita,NMA,0.23441
2010,Tonnes per capita,NMC,7.59691
2010,Tonnes per capita,NMM,7.67472
2010,Tonnes per capita,PET,2.14173
2010,Tonnes per capita,RAW,15.8829
2010,Tonnes per capita,WCH,0.04503
2010,Tonnes per capita,WOD,0.18258
2011,Tonnes per capita,BIM,1.54034
2011,Tonnes per capita,COL,2.64631
2011,Tonnes per capita,CPR,0.1149
2011,Tonnes per capita,CRO,0.88031
2011,Tonnes per capita,FEO,1.25183
2011,Tonnes per capita,FOF,5.45373
2011,Tonnes per capita,GAS,0.72707
2011,Tonnes per capita,GBO,0.30422
2011,Tonnes per capita,MEO,1.44215
2011,Tonnes per capita,NFO,1.25183
2011,Tonnes per capita,NMA,0.23126
2011,Tonnes per capita,NMC,7.36645
2011,Tonnes per capita,NMM,7.38805
2011,Tonnes per capita,PET,2.08034
2011,Tonnes per capita,RAW,15.82427
