Year,서비스유형별,동･읍면부별,성별,가구소득별,Value
2017,주민자치센터,,,100~200만원 미만,82.8
2018,주민자치센터,,,100~200만원 미만,78.6
2019,주민자치센터,,,100~200만원 미만,78.3
2016,주민자치센터,,,200~300만원 미만,74.3
2017,주민자치센터,,,200~300만원 미만,82.7
2018,주민자치센터,,,200~300만원 미만,75.1
2019,주민자치센터,,,200~300만원 미만,75.5
2016,주민자치센터,,,300~400만원 미만,75.3
2017,주민자치센터,,,300~400만원 미만,81.3
2018,주민자치센터,,,300~400만원 미만,77.4
2019,주민자치센터,,,300~400만원 미만,78.2
2016,주민자치센터,,,400~500만원 미만,77.6
2017,주민자치센터,,,400~500만원 미만,85.7
2018,주민자치센터,,,400~500만원 미만,78.9
2019,주민자치센터,,,400~500만원 미만,78.8
2016,주민자치센터,,,500~600만원 미만,77.6
2017,주민자치센터,,,500~600만원 미만,82.3
2018,주민자치센터,,,500~600만원 미만,81.8
2019,주민자치센터,,,500~600만원 미만,75.5
2016,주민자치센터,,,600만원 이상,71.0
2017,주민자치센터,,,600만원 이상,82.2
2018,주민자치센터,,,600만원 이상,82.8
2019,주민자치센터,,,600만원 이상,77.0
2016,인허가 서비스,,,,49.3
2017,인허가 서비스,,,,59.9
2018,인허가 서비스,,,,64.7
2019,인허가 서비스,,,,55.2
2016,인허가 서비스,도시(동부),,,49.3
2017,인허가 서비스,도시(동부),,,60.3
2018,인허가 서비스,도시(동부),,,68.5
2019,인허가 서비스,도시(동부),,,55.3
2016,인허가 서비스,농어촌(읍면부),,,49.6
2017,인허가 서비스,농어촌(읍면부),,,57.9
2018,인허가 서비스,농어촌(읍면부),,,41.1
2019,인허가 서비스,농어촌(읍면부),,,55.0
2016,인허가 서비스,,남자,,46.2
2017,인허가 서비스,,남자,,60.9
2018,인허가 서비스,,남자,,61.8
2019,인허가 서비스,,남자,,54.8
2016,인허가 서비스,,여자,,55.1
2017,인허가 서비스,,여자,,58.0
2018,인허가 서비스,,여자,,70.4
2019,인허가 서비스,,여자,,56.0
2016,인허가 서비스,,,100만원 미만,4.9
2017,인허가 서비스,,,100만원 미만,31.5
2018,인허가 서비스,,,100만원 미만,91.1
2019,인허가 서비스,,,100만원 미만,29.5
2016,인허가 서비스,,,100~200만원 미만,43.7
