Year,구분,교통수단,단위,Value
2007,국내_화물량,지하철,인-kg,24134461581
2007,국내_화물량,공로,인-kg,119568882205
2007,국내_화물량,해운,인-kg,765110523
2007,국내_화물량,항공,인-kg,6525889909
2007,국제_승객량,,인,39417093
2007,국제_승객량,해운,인,2549884
2007,국제_승객량,항공,인,36867209
2007,국제_화물량,,인-kg,115801157035
2007,국제_화물량,해운,인-kg,1019352841
2007,국제_화물량,항공,인-kg,114781804194
2008,국내_승객량,,인,12990411684
2008,국내_승객량,철도,인,1018977063
2008,국내_승객량,지하철,인,2141871594
2008,국내_승객량,공로,인,9798410188
2008,국내_승객량,해운,인,14162479
2008,국내_승객량,항공,인,16990360
2008,국내_화물량,,인-kg,168425098663
2008,국내_화물량,철도,인-kg,32026527996
2008,국내_화물량,지하철,인-kg,24739901825
2008,국내_화물량,공로,인-kg,104142264578
2008,국내_화물량,해운,인-kg,873399876
2008,국내_화물량,항공,인-kg,6643004388
2008,국제_승객량,,인,37875648
2008,국제_승객량,해운,인,2534238
2008,국제_승객량,항공,인,35341410
2008,국제_화물량,,인-kg,115949969105
2008,국제_화물량,해운,인-kg,1029713657
2008,국제_화물량,항공,인-kg,114920255448
2009,국내_승객량,,인,12958910765
2009,국내_승객량,철도,인,1020318980
2009,국내_승객량,지하철,인,2181346205
2009,국내_승객량,공로,인,9724316103
2009,국내_승객량,해운,인,14868404
2009,국내_승객량,항공,인,18061073
2009,국내_화물량,,인-kg,164575912156
2009,국내_화물량,철도,인-kg,31299105544
2009,국내_화물량,지하철,인-kg,24190414232
2009,국내_화물량,공로,인-kg,101114126744
2009,국내_화물량,해운,인-kg,867093768
2009,국내_화물량,항공,인-kg,7105171868
2009,국제_승객량,,인,35602573
2009,국제_승객량,해운,인,2089017
2009,국제_승객량,항공,인,33513556
2009,국제_화물량,,인-kg,110048473178
2009,국제_화물량,해운,인-kg,845413685
2009,국제_화물량,항공,인-kg,109203059493
2010,국내_승객량,,인,12867137937
2010,국내_승객량,철도,인,1060941252
2010,국내_승객량,지하철,인,2273086502
2010,국내_승객량,공로,인,9498585676
2010,국내_승객량,해운,인,14308152
2010,국내_승객량,항공,인,20216355
2010,국내_화물량,,인-kg,171946316596
2010,국내_화물량,철도,인-kg,33012478722
2010,국내_화물량,지하철,인-kg,25369356676
2010,국내_화물량,공로,인-kg,104671015890
2010,국내_화물량,해운,인-kg,882878907
2010,국내_화물량,항공,인-kg,8010586401
2010,국제_승객량,,인,42821807
2010,국제_승객량,해운,인,2760859
2010,국제_승객량,항공,인,40060948
2010,국제_화물량,,인-kg,128864524185
2010,국제_화물량,해운,인-kg,1104326806
2010,국제_화물량,항공,인-kg,127760197379
2011,국내_승객량,,인,29455705271
2011,국내_승객량,철도,인,1118620999
2011,국내_승객량,지하철,인,2358758099
2011,국내_승객량,공로,인,25943079225
2011,국내_승객량,해운,인,14266145
2011,국내_승객량,항공,인,20980803
2011,국내_화물량,,인-kg,416347864334
2011,국내_화물량,철도,인-kg,36784263665
2011,국내_화물량,지하철,인-kg,26259661489
2011,국내_화물량,공로,인-kg,343928161402
