Year,질병유형,성별,Value
2017,호흡기,여,56.6
2018,암,,154.3
2018,암,남,191.0
2018,암,여,117.7
2018,당뇨,,17.1
2018,당뇨,남,17.3
2018,당뇨,여,17.0
2018,순환계통,,122.7
2018,순환계통,남,114.6
2018,순환계통,여,130.8
2018,호흡기,,73.6
2018,호흡기,남,81.2
2018,호흡기,여,66.1
