Year,Unit,data.Fisheries_type,Value
2019,data.Production_amount_of_money,data.General_fishery,3957149057
2020 p),data.Production_amount_of_money,data.General_fishery,4366895747
2000,data.Production_amount_of_money,data.Shallow_sea_fishery,683855951
2001,data.Production_amount_of_money,data.Shallow_sea_fishery,717162507
2002,data.Production_amount_of_money,data.Shallow_sea_fishery,794517120
2003,data.Production_amount_of_money,data.Shallow_sea_fishery,1165674921
2004,data.Production_amount_of_money,data.Shallow_sea_fishery,1217104552
2005,data.Production_amount_of_money,data.Shallow_sea_fishery,1348407375
2006,data.Production_amount_of_money,data.Shallow_sea_fishery,1443168636
2007,data.Production_amount_of_money,data.Shallow_sea_fishery,1599541644
2008,data.Production_amount_of_money,data.Shallow_sea_fishery,1520122116
2009,data.Production_amount_of_money,data.Shallow_sea_fishery,1846310734
2010,data.Production_amount_of_money,data.Shallow_sea_fishery,1815645793
2011,data.Production_amount_of_money,data.Shallow_sea_fishery,1784244398
2012,data.Production_amount_of_money,data.Shallow_sea_fishery,1759270530
2013,data.Production_amount_of_money,data.Shallow_sea_fishery,1725808966
2014,data.Production_amount_of_money,data.Shallow_sea_fishery,1931720090
2015,data.Production_amount_of_money,data.Shallow_sea_fishery,2123938465
2016,data.Production_amount_of_money,data.Shallow_sea_fishery,2345544257
2017,data.Production_amount_of_money,data.Shallow_sea_fishery,2960014603
2018,data.Production_amount_of_money,data.Shallow_sea_fishery,2880673105
2019,data.Production_amount_of_money,data.Shallow_sea_fishery,2805298312
2020 p),data.Production_amount_of_money,data.Shallow_sea_fishery,2903049881
2000,data.Production_amount_of_money,data.Deep_sea_fishery,929666868
2001,data.Production_amount_of_money,data.Deep_sea_fishery,964125161
2002,data.Production_amount_of_money,data.Deep_sea_fishery,809405519
2003,data.Production_amount_of_money,data.Deep_sea_fishery,1072613948
2004,data.Production_amount_of_money,data.Deep_sea_fishery,737288543
2005,data.Production_amount_of_money,data.Deep_sea_fishery,819231699
2006,data.Production_amount_of_money,data.Deep_sea_fishery,891030682
2007,data.Production_amount_of_money,data.Deep_sea_fishery,990205151
2008,data.Production_amount_of_money,data.Deep_sea_fishery,1327394939
2009,data.Production_amount_of_money,data.Deep_sea_fishery,1163750724
2010,data.Production_amount_of_money,data.Deep_sea_fishery,1364524490
2011,data.Production_amount_of_money,data.Deep_sea_fishery,1467044368
2012,data.Production_amount_of_money,data.Deep_sea_fishery,1655406229
2013,data.Production_amount_of_money,data.Deep_sea_fishery,1408034170
2014,data.Production_amount_of_money,data.Deep_sea_fishery,1275222255
2015,data.Production_amount_of_money,data.Deep_sea_fishery,1023738173
2016,data.Production_amount_of_money,data.Deep_sea_fishery,1077762729
2017,data.Production_amount_of_money,data.Deep_sea_fishery,1134303285
2018,data.Production_amount_of_money,data.Deep_sea_fishery,1130696582
2019,data.Production_amount_of_money,data.Deep_sea_fishery,1119095801
2020 p),data.Production_amount_of_money,data.Deep_sea_fishery,1044177593
2000,data.Production_amount_of_money,data.Inland_fishery,123441203
2001,data.Production_amount_of_money,data.Inland_fishery,103301471
2002,data.Production_amount_of_money,data.Inland_fishery,114312843
2003,data.Production_amount_of_money,data.Inland_fishery,126719196
2004,data.Production_amount_of_money,data.Inland_fishery,167212140
2005,data.Production_amount_of_money,data.Inland_fishery,175727470
2006,data.Production_amount_of_money,data.Inland_fishery,200409341
2007,data.Production_amount_of_money,data.Inland_fishery,223089298
2008,data.Production_amount_of_money,data.Inland_fishery,275284952
2009,data.Production_amount_of_money,data.Inland_fishery,273750067
2010,data.Production_amount_of_money,data.Inland_fishery,333834081
2011,data.Production_amount_of_money,data.Inland_fishery,377466022
2012,data.Production_amount_of_money,data.Inland_fishery,323339507
2013,data.Production_amount_of_money,data.Inland_fishery,345437258
2014,data.Production_amount_of_money,data.Inland_fishery,372110685
2015,data.Production_amount_of_money,data.Inland_fishery,407481551
2016,data.Production_amount_of_money,data.Inland_fishery,417546823
2017,data.Production_amount_of_money,data.Inland_fishery,458497028
2018,data.Production_amount_of_money,data.Inland_fishery,460982330
2019,data.Production_amount_of_money,data.Inland_fishery,484784996
2020 p),data.Production_amount_of_money,data.Inland_fishery,444080207
