Year,Sex,Value
2000,,14.8
2000,FEMALE,9.3
2000,MALE,20.3
2005,,26.8
2005,FEMALE,17.8
2005,MALE,35.7
2010,,34.1
2010,FEMALE,23.1
2010,MALE,45.1
2015,,28.3
2015,FEMALE,16.5
2015,MALE,39.9
2016,,26.9
2016,FEMALE,15.4
2016,MALE,38.4
