Year,Value
2006,0.00261
2007,0.00403
2008,0.0055
2009,0.00882
2010,0.00968
2011,0.00779
2012,0.00821
2013,0.00765
2014,0.00809
2015,0.00892
2016,0.00902
2017,0.00947
2018,0.00943
