Year,성별,Value
2006,,11172
2006,남,13064
2006,여,7915
2007,,12149
2007,남,14232
2007,여,8664
2008,,12920
2008,남,15152
2008,여,9217
2009,,12382
2009,남,14503
2009,여,8856
2010,,12878
2010,남,15095
2010,여,9300
2011,,13769
2011,남,16050
2011,여,10082
2012,,14967
2012,남,17317
2012,여,11228
2013,,16067
2013,남,18658
2013,여,12035
2014,,16701
2014,남,19505
2014,여,12500
2015,,15978
2015,남,18681
2015,여,11915
2016,,16709
2016,남,19476
2016,여,12573
2017,,17381
2017,남,20183
2017,여,13292
2018,,19522
2018,남,22515
2018,여,15265
2019,,20573
2019,남,23566
2019,여,16358
