Year,Industry sector,Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Observation status,Unit multiplier,Unit measure,Value
2000,,,,,Undefined,Units,Percentage (%),11.24
2001,,,,,Undefined,Units,Percentage (%),11.9
2002,,,,,Undefined,Units,Percentage (%),12.29
2003,,,,,Undefined,Units,Percentage (%),12.96
2004,,,,,Undefined,Units,Percentage (%),12.1
2005,,,,,Undefined,Units,Percentage (%),12.76
2006,,,,,Undefined,Units,Percentage (%),12.84
2013,,,,,Undefined,Units,Percentage (%),7.25
