Year,성별,Value
2005,,4.2
2005,남자,4.3
2005,여자,4.0
2006,,3.8
2006,남자,4.1
2006,여자,3.5
2007,,3.4
2007,남자,3.7
2007,여자,3.2
2008,,3.4
2008,남자,3.5
2008,여자,3.3
2009,,3.2
2009,남자,3.3
2009,여자,3.1
2010,,3.2
2010,남자,3.7
2010,여자,2.7
2011,,3.0
2011,남자,3.4
2011,여자,2.7
2012,,2.9
2012,남자,3.1
2012,여자,2.7
2013,,3.0
2013,남자,3.1
2013,여자,2.9
2014,,3.0
2014,남자,3.2
2014,여자,2.8
2015,,2.7
2015,남자,2.9
2015,여자,2.5
2016,,2.8
2016,남자,3.1
2016,여자,2.6
2017,,2.8
2017,남자,3.1
2017,여자,2.5
2018,,2.8
2018,남자,3.2
2018,여자,2.5
2019,,2.7
2019,남자,3.0
2019,여자,2.4
