Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,,,,,,,,,Undefined,Units,Percentage (%),,54.1
2016,,,,,,,,,Undefined,Units,Percentage (%),,58.6
