Year,성별,Value
2005,,2.4
2005,남자,2.5
2005,여자,2.2
2006,,2.2
2006,남자,2.4
2006,여자,1.9
2007,,2.0
2007,남자,2.1
2007,여자,1.8
2008,,1.8
2008,남자,1.9
2008,여자,1.7
2009,,1.8
2009,남자,1.8
2009,여자,1.7
2010,,1.8
2010,남자,2.0
2010,여자,1.5
2011,,1.7
2011,남자,1.9
2011,여자,1.5
2012,,1.8
2012,남자,1.9
2012,여자,1.5
2013,,1.7
2013,남자,1.8
2013,여자,1.7
2014,,1.7
2014,남자,1.8
2014,여자,1.6
2015,,1.5
2015,남자,1.7
2015,여자,1.4
2016,,1.6
2016,남자,1.7
2016,여자,1.4
2017,,1.6
2017,남자,1.7
2017,여자,1.3
2018,,1.7
2018,남자,1.8
2018,여자,1.4
2019,,1.5
2019,남자,1.6
2019,여자,1.5
