Year,관세제도,생산품유형,Value
2005,특혜 관세,농업,85.66796
2005,최혜국 관세,농업,85.77802
2005,특혜 관세,무기,0.0955
2005,최혜국 관세,무기,0.0955
2005,특혜 관세,전체,7.68152
2005,최혜국 관세,전체,7.72337
2005,특혜 관세,직물,8.38931
2005,특혜 관세,의류,11.69277
2005,최혜국 관세,공산품,3.94262
2005,최혜국 관세,직물,8.45397
2005,최혜국 관세,오일,5.0
2005,최혜국 관세,의류,12.85406
2005,특혜 관세,공산품,3.91128
2005,특혜 관세,오일,5.0
2010,최혜국 관세,의류,12.7957
2010,특혜 관세,무기,0.08781
2010,최혜국 관세,무기,0.09083
2010,특혜 관세,전체,6.74107
2010,최혜국 관세,전체,7.049930000000001
2010,특혜 관세,농업,81.0859
2010,최혜국 관세,농업,81.64962
2010,특혜 관세,의류,10.17221
2010,특혜 관세,직물,7.028510000000001
2010,최혜국 관세,직물,8.05419
2010,최혜국 관세,공산품,3.7020199999999996
2010,최혜국 관세,오일,3.0
2010,특혜 관세,공산품,3.3862900000000002
2010,특혜 관세,오일,2.99424
2015,최혜국 관세,오일,3.0
2015,특혜 관세,의류,5.302169999999999
2015,최혜국 관세,의류,12.84361
2015,특혜 관세,무기,0.00854
2015,특혜 관세,전체,5.89757
2015,최혜국 관세,무기,0.23528000000000002
2015,특혜 관세,오일,2.8290900000000003
2015,최혜국 관세,전체,8.43952
2015,최혜국 관세,직물,8.2163
2015,특혜 관세,직물,4.72633
2015,특혜 관세,농업,67.69582
2015,최혜국 관세,농업,80.72593
2015,특혜 관세,공산품,2.04267
2015,최혜국 관세,공산품,4.08585
2016,특혜 관세,농업,71.83376
2016,최혜국 관세,농업,84.2454
2016,최혜국 관세,직물,8.23572
2016,특혜 관세,오일,2.90267
2016,특혜 관세,무기,0.01124
2016,최혜국 관세,의류,12.86571
2016,특혜 관세,의류,5.74865
2016,최혜국 관세,공산품,3.7257599999999997
2016,특혜 관세,전체,6.43366
2016,최혜국 관세,전체,8.38422
2016,특혜 관세,공산품,2.35081
2016,최혜국 관세,오일,3.0
2016,최혜국 관세,무기,0.23784
2016,특혜 관세,직물,5.27651
2017,최혜국 관세,농업,71.3647
2017,특혜 관세,농업,52.02163
2017,최혜국 관세,전체,8.4463
2017,최혜국 관세,공산품,4.92743
2017,특혜 관세,공산품,2.08352
2017,최혜국 관세,오일,3.0
2017,특혜 관세,전체,4.903169999999999
2017,최혜국 관세,무기,0.27121999999999996
2017,특혜 관세,무기,0.011179999999999999
2017,최혜국 관세,직물,8.2312
2017,특혜 관세,직물,3.5861099999999997
2017,특혜 관세,오일,2.77755
2017,최혜국 관세,의류,12.83197
2017,특혜 관세,의류,3.741
