Year,Sex,Type of occupation,Value
2015,MALE,isco08,20734
2015,MALE,isco08-1,46228
2015,MALE,isco08-4,24013
2015,MALE,isco08-5,16891
2015,MALE,isco08-6,12281
2015,MALE,isco08-7,16544
2015,MALE,isco08-8,15441
2015,MALE,isco08-9,10159
2015,MALE,isco08-X,25966
2016,,isco08,18786
2016,,isco08-1,48716
2016,,isco08-4,21187
2016,,isco08-5,14055
2016,,isco08-6,12844
2016,,isco08-7,16306
2016,,isco08-8,15190
2016,,isco08-9,9858
2016,,isco08-X,22536
2016,FEMALE,isco08,14220
2016,FEMALE,isco08-1,39837
2016,FEMALE,isco08-4,16231
2016,FEMALE,isco08-5,10636
2016,FEMALE,isco08-6,10594
2016,FEMALE,isco08-7,10354
2016,FEMALE,isco08-8,12724
2016,FEMALE,isco08-9,9146
2016,FEMALE,isco08-X,16224
2016,MALE,isco08,21412
2016,MALE,isco08-1,49834
2016,MALE,isco08-4,24914
2016,MALE,isco08-5,17884
2016,MALE,isco08-6,13142
2016,MALE,isco08-7,17244
2016,MALE,isco08-8,15665
2016,MALE,isco08-9,10496
2016,MALE,isco08-X,26853
2017,,isco08,19512
2017,,isco08-1,48469
2017,,isco08-4,21605
2017,,isco08-5,14434
2017,,isco08-6,13150
2017,,isco08-7,17170
2017,,isco08-8,16444
2017,,isco08-9,10725
2017,FEMALE,isco08,14890
2017,FEMALE,isco08-1,36493
2017,FEMALE,isco08-4,16792
2017,FEMALE,isco08-5,11158
2017,FEMALE,isco08-6,9930
2017,FEMALE,isco08-7,10785
2017,FEMALE,isco08-8,13185
2017,FEMALE,isco08-9,9710
2017,MALE,isco08,22246
2017,MALE,isco08-1,50241
2017,MALE,isco08-4,25327
2017,MALE,isco08-5,18489
2017,MALE,isco08-6,13747
2017,MALE,isco08-7,18019
2017,MALE,isco08-8,17077
2017,MALE,isco08-9,11637
