Year,data.Sex,Value
2007,,29.8
2007,data.Male,28.9
2007,data.Female,30.7
2008,,26.4
2008,data.Male,24.4
2008,data.Female,28.4
2009,,28
2009,data.Male,25.5
2009,data.Female,30.5
2010,,30.5
2010,data.Male,28.7
2010,data.Female,32.3
2011,,32.4
2011,data.Male,30.7
2011,data.Female,34
2012,,35.6
2012,data.Male,31.8
2012,data.Female,39.4
2013,,30.2
2013,data.Male,29.1
2013,data.Female,31.3
2014,,36.8
2014,data.Male,37.5
2014,data.Female,36.1
2015,,40.6
2015,data.Male,41.3
2015,data.Female,39.8
2016,,35.7
2016,data.Male,34.4
2016,data.Female,37.1
2017,,34.4
2017,data.Male,32.4
2017,data.Female,36.4
2018,,41.2
2018,data.Male,39.5
2018,data.Female,42.9
2019,,41.7
2019,data.Male,40.8
2019,data.Female,42.6
2020,,40
2020,data.Male,39.7
2020,data.Female,40.3
