Year,Units,Value
2013,Per capita (Current USD),3.59029
2015,Per capita (Current USD),0.00229
2013,Proportion of total GDP (%),0.01382
2015,Proportion of total GDP (%),0.00001
2013,Billions of current USD,0.1803
2015,Billions of current USD,0.00012
