Year,Unit measure,Unit multiplier,Observation status,Value
2000,Percentage (%),Units,Undefined,65.4
2001,Percentage (%),Units,Undefined,66.0
2002,Percentage (%),Units,Undefined,65.1
2003,Percentage (%),Units,Undefined,65.5
2004,Percentage (%),Units,Undefined,64.5
2005,Percentage (%),Units,Undefined,65.6
2006,Percentage (%),Units,Undefined,65.5
2007,Percentage (%),Units,Undefined,64.3
2008,Percentage (%),Units,Undefined,63.6
2009,Percentage (%),Units,Undefined,62.1
2010,Percentage (%),Units,Undefined,59.5
2011,Percentage (%),Units,Undefined,59.7
2012,Percentage (%),Units,Undefined,60.6
2013,Percentage (%),Units,Undefined,60.7
2014,Percentage (%),Units,Undefined,60.8
2015,Percentage (%),Units,Undefined,60.3
2016,Percentage (%),Units,Undefined,60.1
2017,Percentage (%),Units,Undefined,59.5
2018,Percentage (%),Units,Undefined,58.7
