Year,Value
2000,108370
2001,136337
2002,141917
2003,156220
2004,156220
2005,179812
2006,199990
2007,236137
2008,236137
2009,244077
2010,264118
2011,288901
2012,315589
2013,321842
2014,345463
2015,356447
2016,361292
2017,383100
2018,408370
2019,430690
