Year,data.category,Value
2004,data.Sewage_generation,11946076
2004,data.Excretions,49053
2005,data.Sewage_generation,16832611
2005,data.Excretions,47627
2006,data.Sewage_generation,16919995
2006,data.Excretions,47094
2007,data.Sewage_generation,16744875
2007,data.Excretions,44766
2008,data.Sewage_generation,17113106
2008,data.Excretions,46420
2009,data.Sewage_generation,16681388
2009,data.Excretions,48749
2010,data.Sewage_generation,16111195
2010,data.Excretions,46189
2011,data.Sewage_generation,18660763
2011,data.Excretions,42358
2012,data.Sewage_generation,15722166
2012,data.Excretions,41747
2013,data.Sewage_generation,15148299
2013,data.Excretions,62011
2014,data.Sewage_generation,16256451
2014,data.Excretions,36447
2015,data.Sewage_generation,14975476
2015,data.Excretions,37893
2016,data.Sewage_generation,14392658
2016,data.Excretions,41343
2007,data.Wastewater_generation,2564967
2008,data.Wastewater_generation,2332102
2009,data.Wastewater_generation,2425750
2010,data.Wastewater_generation,2956447
2011,data.Wastewater_generation,2890343
2012,data.Wastewater_generation,3368232
2013,data.Wastewater_generation,3085935
2014,data.Wastewater_generation,2936815
2015,data.Wastewater_generation,1907340
2016,data.Wastewater_generation,2499775
2017,data.Wastewater_generation,2768019
2018,data.Wastewater_generation,2524743
