Year,성별,Value
2000,,244
2000,남자,211
2000,여자,33
2001,,384
2001,남자,336
2001,여자,48
2002,,457
2002,남자,402
2002,여자,55
2003,,592
2003,남자,543
2003,여자,49
2004,,763
2004,남자,672
2004,여자,91
2005,,734
2005,남자,673
2005,여자,61
2006,,796
2006,남자,717
2006,여자,79
2007,,828
2007,남자,759
2007,여자,69
2008,,900
2008,남자,814
2008,여자,86
2009,,839
2009,남자,759
2009,여자,80
2010,,837
2010,남자,762
2010,여자,75
2011,,959
2011,남자,877
2011,여자,82
2012,,953
2012,남자,864
2012,여자,89
2013,,1114
2013,남자,1016
2013,여자,98
2014,,1191
2014,남자,1100
2014,여자,91
2015,,1152
2015,남자,1080
2015,여자,72
2016,,1197
2016,남자,1103
2016,여자,94
2017,,1190
2017,남자,1088
2017,여자,102
2018,,1206
2018,남자,1100
2018,여자,106
2019,,1222
2019,남자,1111
2019,여자,111
