Year,data.category,Value
2000,data.overweight,7.2
2001,data.overweight,7.2
2002,data.overweight,7.1
2003,data.overweight,7.1
2004,data.overweight,7.1
2005,data.overweight,7.2
2006,data.overweight,7.2
2007,data.overweight,7.2
2008,data.overweight,7.2
2009,data.overweight,7.1
2010,data.overweight,7
2011,data.overweight,6.9
2012,data.overweight,6.8
2013,data.overweight,6.7
2014,data.overweight,6.6
2015,data.overweight,6.5
2016,data.overweight,6.3
2017,data.overweight,6.2
2018,data.overweight,6
2019,data.overweight,5.8
2020,data.overweight,5.7
2021,data.overweight,5.5
2022,data.overweight,5.4
2003,data.underweight,0.9
2008,data.underweight,0.6
2011,data.underweight,0.5
2014,data.underweight,0.6
2017,data.underweight,0.9
2020,data.underweight,0.2

