Year,구분,Value
2006,사업장배출시설계폐기물,59.4218753245571
2007,사업장배출시설계폐기물,66.8427883317219
2008,사업장배출시설계폐기물,70.8191712170231
2009,사업장배출시설계폐기물,66.4667272363943
2010,사업장배출시설계폐기물,72.2585675430644
2011,사업장배출시설계폐기물,73.0283668151391
2012,사업장배출시설계폐기물,76.4901250355215
2013,사업장배출시설계폐기물,75.3598516872795
2014,사업장배출시설계폐기물,77.2661133179057
2015,사업장배출시설계폐기물,78.1664525725103
2016,사업장배출시설계폐기물,79.0639423323047
2017,사업장배출시설계폐기물,80.5915643819215
2018,사업장배출시설계폐기물,81.6266204168801
2006,생활폐기물,55.7938203812998
2007,생활폐기물,57.9986751482237
2008,생활폐기물,59.2057044304441
2009,생활폐기물,60.3973311663316
2010,생활폐기물,59.3852943763991
2011,생활폐기물,57.6085018453069
2012,생활폐기물,57.6983109292531
2013,생활폐기물,56.9185081407997
2014,생활폐기물,57.969033318223
2015,생활폐기물,58.4713161580422
2016,생활폐기물,58.5253506906026
2017,생활폐기물,59.4617953338118
2018,생활폐기물,59.4122264932309
2005,건설폐기물,96.7239962183334
2006,건설폐기물,96.9736349224102
2007,건설폐기물,97.5000145344612
2008,건설폐기물,97.542042298182
2009,건설폐기물,97.7777026334219
2010,건설폐기물,98.2486003849082
2011,건설폐기물,98.0769478352856
2012,건설폐기물,97.2489196451775
2013,건설폐기물,97.4887448191843
2014,건설폐기물,97.8790327452876
2015,건설폐기물,97.5311686988487
2016,건설폐기물,98.0967088506047
2017,건설폐기물,98.0649296653039
2018,건설폐기물,98.2598287806431
2005,지정폐기물,61.1
2006,지정폐기물,54.8
2007,지정폐기물,54.0
2008,지정폐기물,56.5
2009,지정폐기물,56.8
2010,지정폐기물,56.1
2011,지정폐기물,57.1
2012,지정폐기물,54.4
2013,지정폐기물,59.1
2014,지정폐기물,57.3
2015,지정폐기물,57.5
2016,지정폐기물,56.0
2017,지정폐기물,56.2
2018,지정폐기물,60.0
