Year,Units,data.Type_of_product,Value
2006,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.24285
2006,1인당 국내물질소비량(톤),건설 비금속광물,8.37002
2006,1인당 국내물질소비량(톤),비급속광물,8.48399
2006,1인당 국내물질소비량(톤),석유,2.11715
2006,1인당 국내물질소비량(톤),RAW,15.47633
2006,1인당 국내물질소비량(톤),자연수확,0.05738
2006,1인당 국내물질소비량(톤),나무,0.15061
2007,1인당 국내물질소비량(톤),바이오매스,1.4956
2007,1인당 국내물질소비량(톤),석탄,1.8695
2007,1인당 국내물질소비량(톤),작물잔해,0.1256
2007,1인당 국내물질소비량(톤),작물,0.89879
2007,1인당 국내물질소비량(톤),철광석,1.1562
2007,1인당 국내물질소비량(톤),화석연료,4.50273
2007,1인당 국내물질소비량(톤),천연가스,0.52676
2007,1인당 국내물질소비량(톤),사료작물,0.26676
2007,1인당 국내물질소비량(톤),금속광석,1.30204
2007,1인당 국내물질소비량(톤),비금속광석,1.1562
2007,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.28044
2007,1인당 국내물질소비량(톤),건설 비금속광물,8.73664
2007,1인당 국내물질소비량(톤),비급속광물,8.88469
2007,1인당 국내물질소비량(톤),석유,2.10648
2007,1인당 국내물질소비량(톤),RAW,16.18506
2007,1인당 국내물질소비량(톤),자연수확,0.0566
2007,1인당 국내물질소비량(톤),나무,0.1568
2008,1인당 국내물질소비량(톤),바이오매스,1.59138
2008,1인당 국내물질소비량(톤),석탄,2.09385
2008,1인당 국내물질소비량(톤),작물잔해,0.14069
2008,1인당 국내물질소비량(톤),작물,0.887
2008,1인당 국내물질소비량(톤),철광석,1.24597
2008,1인당 국내물질소비량(톤),화석연료,4.66362
2008,1인당 국내물질소비량(톤),천연가스,0.58261
2008,1인당 국내물질소비량(톤),사료작물,0.28739
2008,1인당 국내물질소비량(톤),금속광석,1.40848
2008,1인당 국내물질소비량(톤),비금속광석,1.24597
2008,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.28739
2008,1인당 국내물질소비량(톤),건설 비금속광물,8.41392
2008,1인당 국내물질소비량(톤),비급속광물,8.56701
2008,1인당 국내물질소비량(톤),석유,1.98716
2008,1인당 국내물질소비량(톤),RAW,16.23049
2008,1인당 국내물질소비량(톤),자연수확,0.0515
2008,1인당 국내물질소비량(톤),나무,0.1727
2009,1인당 국내물질소비량(톤),바이오매스,1.56158
2009,1인당 국내물질소비량(톤),석탄,2.14173
2009,1인당 국내물질소비량(톤),작물잔해,0.14093
2009,1인당 국내물질소비량(톤),작물,0.93606
2009,1인당 국내물질소비량(톤),철광석,0.95003
2009,1인당 국내물질소비량(톤),화석연료,4.74703
2009,1인당 국내물질소비량(톤),천연가스,0.53074
2009,1인당 국내물질소비량(톤),사료작물,0.31552
2009,1인당 국내물질소비량(톤),금속광석,1.11684
2009,1인당 국내물질소비량(톤),비금속광석,0.95003
2009,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.21909
2009,1인당 국내물질소비량(톤),건설 비금속광물,8.36765
2009,1인당 국내물질소비량(톤),비급속광물,8.48761
2009,1인당 국내물질소비량(톤),석유,2.07456
2009,1인당 국내물질소비량(톤),RAW,15.91306
2009,1인당 국내물질소비량(톤),자연수확,0.04908
2009,1인당 국내물질소비량(톤),나무,0.15229
2010,1인당 국내물질소비량(톤),바이오매스,1.51263
2010,1인당 국내물질소비량(톤),석탄,2.44797
2010,1인당 국내물질소비량(톤),작물잔해,0.11914
2010,1인당 국내물질소비량(톤),작물,0.9006
2010,1인당 국내물질소비량(톤),철광석,1.23568
2010,1인당 국내물질소비량(톤),화석연료,5.27587
