Year,구분,Value
2015,data.Experience of physical punishment,75.2
2016,data.Experience of physical punishment,75.9
2017,data.Experience of physical punishment,73.7
2018,data.Experience of physical punishment,74.0
2019,data.Experience of physical punishment,75.0
2020,data.Experience of physical punishment,77.1
2015,Experience of hearing insulting words,70.2
2016,Experience of hearing insulting words,69.6
2017,Experience of hearing insulting words,68.2
2018,Experience of hearing insulting words,68.7
2019,Experience of hearing insulting words,69.8
2020,Experience of hearing insulting words,71.2
