Year,Value
2001,2556
2002,1799
2003,1171
2004,864
2005,1369
2006,2051
2007,2227
2008,1052
2009,1345
2010,1772
2011,826
2012,542
2013,445
2014,638
2015,699
2016,673
2017,515
2018,576
2019,559
2020,389
