Year,성별,Value
2011,,93.05
2011,여성,93.11
2011,남성,92.98
2014,,94.36
2014,여성,93.38
2014,남성,95.39
2017,,94.85
2017,여성,94.69
2017,남성,95.02
2021,,98.6714
2021,여성,96.8874
2021,남성,99.8564
