Year,Units,어업별,Value
2000,생산금액,내수면어업,123441203
2001,생산금액,내수면어업,103301471
2002,생산금액,내수면어업,114312843
2003,생산금액,내수면어업,126719196
2004,생산금액,내수면어업,167212140
2005,생산금액,내수면어업,175727470
2006,생산금액,내수면어업,200409341
2007,생산금액,내수면어업,223089298
2008,생산금액,내수면어업,275284952
2009,생산금액,내수면어업,273750067
2010,생산금액,내수면어업,333834081
2011,생산금액,내수면어업,377466022
2012,생산금액,내수면어업,323339507
2013,생산금액,내수면어업,345437258
2014,생산금액,내수면어업,372110685
2015,생산금액,내수면어업,407481551
2016,생산금액,내수면어업,417546823
2017,생산금액,내수면어업,458497028
2018,생산금액,내수면어업,460982330
2019,생산금액,내수면어업,484784996
2020 p),생산금액,내수면어업,444080207
