Year,지역별,Value
2012,,1.42196104946032
2012,서울,26.2686044247291
2012,부산,9.63463877025486
2012,대구,5.08952058924058
2012,인천,8.08294587711829
2012,광주,5.41753201020024
2012,대전,6.00833160004225
2012,울산,4.78464432335337
2012,세종,5.36034047675343
2013,,1.41942804427964
2013,서울,25.8173793117215
2013,부산,9.73128283369523
2013,대구,5.13928475484448
2013,인천,6.12602381596659
2013,광주,5.74972833732113
2013,대전,6.55159139069149
2013,울산,4.79447130988919
2013,세종,5.38873073533521
2014,,1.41094688515611
2014,서울,25.6399287028561
2014,부산,10.6779336217364
2014,대구,5.10223808628224
2014,인천,5.92832060958916
2014,광주,5.77835873801282
2014,대전,6.4869352260571
2014,울산,4.86292320487052
2014,세종,5.61165419935309
2015,,1.40131008802132
2015,서울,25.5416501522189
2015,부산,11.0168790493781
2015,대구,5.07562982384989
2015,인천,6.03248975108448
2015,광주,5.78367973741798
2015,대전,5.94058413278766
2015,울산,4.88728523173989
2015,세종,5.85586033063523
2016,,1.40127516774984
2016,서울,25.082823199212
2016,부산,10.1036398539257
2016,대구,5.00393111365961
2016,인천,5.64722612544542
2016,광주,5.78284408557029
2016,대전,6.01115153368994
2016,울산,4.98175579069131
2016,세종,5.86943129712234
2017,,1.39364899511732
2017,서울,24.9696959196946
2017,부산,9.65304741173128
2017,대구,5.0232180486028
2017,인천,5.4558494371261
2017,광주,5.76678107173176
2017,대전,6.30118282296906
2017,울산,4.94096173188743
2017,세종,5.68228262277067
2018,,1.38231479024375
2018,서울,25.13573714536
2018,부산,8.86531952400239
2018,대구,5.00885985203243
2018,인천,5.66615193440905
2018,광주,5.57283880385044
2018,대전,7.46470687624263
2018,울산,4.9410714776169
2018,세종,5.79160658933984
2019,,1.36485031057531
2019,서울,25.0979570814237
2019,부산,8.17454569063157
2019,대구,5.03469111726437
2019,인천,6.16411837508917
2019,광주,5.57781549158344
2019,대전,7.51638386908865
2019,울산,4.9134360128128
2019,세종,5.91150841699942
