Year,경지규모별,Value
2003,,16727
2003,범주1) 0.5 ha 미만,2211
2003,범주2) 0.5~1.0 ha,4154
2003,범주3) 1.0~1.5 ha,9312
2003,범주4) 1.5~2.0 ha,12899
2003,범주5) 2.0~3.0 ha,15224
2003,범주6) 3.0~5.0 ha,16324
2003,범주7) 5.0~7.0 ha,20405
2003,범주8) 7.0~10.0 ha,34633
2003,범주9) 10.0 ha 이상,35376
2004,,19051
2004,범주1) 0.5 ha 미만,3633
2004,범주2) 0.5~1.0 ha,6318
2004,범주3) 1.0~1.5 ha,8817
2004,범주4) 1.5~2.0 ha,12336
2004,범주5) 2.0~3.0 ha,17398
2004,범주6) 3.0~5.0 ha,19798
2004,범주7) 5.0~7.0 ha,23025
2004,범주8) 7.0~10.0 ha,35639
2004,범주9) 10.0 ha 이상,44490
2005,,16676
2005,범주1) 0.5 ha 미만,3634
2005,범주2) 0.5~1.0 ha,6062
2005,범주3) 1.0~1.5 ha,9706
2005,범주4) 1.5~2.0 ha,13581
2005,범주5) 2.0~3.0 ha,16627
2005,범주6) 3.0~5.0 ha,19610
2005,범주7) 5.0~7.0 ha,22303
2005,범주8) 7.0~10.0 ha,30201
2005,범주9) 10.0 ha 이상,28354
2006,,17828
2006,범주1) 0.5 ha 미만,3374
2006,범주2) 0.5~1.0 ha,5167
2006,범주3) 1.0~1.5 ha,10202
2006,범주4) 1.5~2.0 ha,13737
2006,범주5) 2.0~3.0 ha,17406
2006,범주6) 3.0~5.0 ha,22086
2006,범주7) 5.0~7.0 ha,19927
2006,범주8) 7.0~10.0 ha,28237
2006,범주9) 10.0 ha 이상,40310
2007,,15458
2007,범주1) 0.5 ha 미만,2385
2007,범주2) 0.5~1.0 ha,5692
2007,범주3) 1.0~1.5 ha,8510
2007,범주4) 1.5~2.0 ha,11864
2007,범주5) 2.0~3.0 ha,13362
2007,범주6) 3.0~5.0 ha,19185
2007,범주7) 5.0~7.0 ha,22851
2007,범주8) 7.0~10.0 ha,20671
2007,범주9) 10.0 ha 이상,34601
2008,,16348
2008,범주1) 0.5 ha 미만,2396
2008,범주2) 0.5~1.0 ha,5209
2008,범주3) 1.0~1.5 ha,8351
2008,범주4) 1.5~2.0 ha,11858
2008,범주5) 2.0~3.0 ha,15370
2008,범주6) 3.0~5.0 ha,18144
2008,범주7) 5.0~7.0 ha,19439
2008,범주8) 7.0~10.0 ha,42839
2008,범주9) 10.0 ha 이상,23526
2009,,17008
2009,범주1) 0.5 ha 미만,1972
2009,범주2) 0.5~1.0 ha,6675
2009,범주3) 1.0~1.5 ha,8760
2009,범주4) 1.5~2.0 ha,12471
2009,범주5) 2.0~3.0 ha,14750
2009,범주6) 3.0~5.0 ha,17224
2009,범주7) 5.0~7.0 ha,17619
2009,범주8) 7.0~10.0 ha,31687
2009,범주9) 10.0 ha 이상,41910
2010,,18091
2010,범주1) 0.5 ha 미만,2531
2010,범주2) 0.5~1.0 ha,8215
2010,범주3) 1.0~1.5 ha,9689
2010,범주4) 1.5~2.0 ha,9728
2010,범주5) 2.0~3.0 ha,11936
2010,범주6) 3.0~5.0 ha,20049
2010,범주7) 5.0~7.0 ha,20265
2010,범주8) 7.0~10.0 ha,37435
2010,범주9) 10.0 ha 이상,42964
2011,,16974
2011,범주1) 0.5 ha 미만,2098
2011,범주2) 0.5~1.0 ha,4470
2011,범주3) 1.0~1.5 ha,10538
2011,범주4) 1.5~2.0 ha,10404
2011,범주5) 2.0~3.0 ha,12650
2011,범주6) 3.0~5.0 ha,15357
2011,범주7) 5.0~7.0 ha,11256
2011,범주8) 7.0~10.0 ha,40041
2011,범주9) 10.0 ha 이상,45944
2012,,17067
2012,범주1) 0.5 ha 미만,1469
2012,범주2) 0.5~1.0 ha,4725
2012,범주3) 1.0~1.5 ha,10828
2012,범주4) 1.5~2.0 ha,10448
2012,범주5) 2.0~3.0 ha,12382
2012,범주6) 3.0~5.0 ha,18745
2012,범주7) 5.0~7.0 ha,21418
2012,범주8) 7.0~10.0 ha,41390
2012,범주9) 10.0 ha 이상,32198
2013,,16916
2013,범주1) 0.5 ha 미만,2110
2013,범주2) 0.5~1.0 ha,4680
2013,범주3) 1.0~1.5 ha,12244
2013,범주4) 1.5~2.0 ha,17865
2013,범주5) 2.0~3.0 ha,16373
2013,범주6) 3.0~5.0 ha,20095
2013,범주7) 5.0~7.0 ha,28628
2013,범주8) 7.0~10.0 ha,21406
2013,범주9) 10.0 ha 이상,28840
2014,,18210
2014,범주1) 0.5 ha 미만,2562
2014,범주2) 0.5~1.0 ha,6435
2014,범주3) 1.0~1.5 ha,13035
2014,범주4) 1.5~2.0 ha,13588
2014,범주5) 2.0~3.0 ha,14497
2014,범주6) 3.0~5.0 ha,20302
2014,범주7) 5.0~7.0 ha,27697
2014,범주8) 7.0~10.0 ha,33262
2014,범주9) 10.0 ha 이상,32508
2015,,21947
2015,범주1) 0.5 ha 미만,3034
2015,범주2) 0.5~1.0 ha,7280
2015,범주3) 1.0~1.5 ha,9494
2015,범주4) 1.5~2.0 ha,13794
2015,범주5) 2.0~3.0 ha,20183
2015,범주6) 3.0~5.0 ha,22052
2015,범주7) 5.0~7.0 ha,35205
2015,범주8) 7.0~10.0 ha,43525
2015,범주9) 10.0 ha 이상,42949
2016,,19772
2016,범주1) 0.5 ha 미만,2352
2016,범주2) 0.5~1.0 ha,6443
2016,범주3) 1.0~1.5 ha,11396
2016,범주4) 1.5~2.0 ha,10331
2016,범주5) 2.0~3.0 ha,18458
2016,범주6) 3.0~5.0 ha,23599
2016,범주7) 5.0~7.0 ha,24814
2016,범주8) 7.0~10.0 ha,43572
2016,범주9) 10.0 ha 이상,36982
2017,,22272
2017,범주1) 0.5 ha 미만,1367
2017,범주2) 0.5~1.0 ha,6493
2017,범주3) 1.0~1.5 ha,11247
2017,범주4) 1.5~2.0 ha,11365
2017,범주5) 2.0~3.0 ha,16405
2017,범주6) 3.0~5.0 ha,24640
2017,범주7) 5.0~7.0 ha,32908
2017,범주8) 7.0~10.0 ha,50481
2017,범주9) 10.0 ha 이상,45535
2018,,30540
2018,범주1) 0.5 ha 미만,2994
2018,범주2) 0.5~1.0 ha,7061
2018,범주3) 1.0~1.5 ha,10820
2018,범주4) 1.5~2.0 ha,20258
2018,범주5) 2.0~3.0 ha,24499
2018,범주6) 3.0~5.0 ha,36134
2018,범주7) 5.0~7.0 ha,34206
2018,범주8) 7.0~10.0 ha,52235
2018,범주9) 10.0 ha 이상,86648
2019,,23546
2019,범주1) 0.5 ha 미만,2022
2019,범주2) 0.5~1.0 ha,5574
2019,범주3) 1.0~1.5 ha,9450
2019,범주4) 1.5~2.0 ha,14928
2019,범주5) 2.0~3.0 ha,19354
2019,범주6) 3.0~5.0 ha,23335
2019,범주7) 5.0~7.0 ha,37016
2019,범주8) 7.0~10.0 ha,34741
2019,범주9) 10.0 ha 이상,65494
