Year,Value
2000,1.49
2001,1.47
2002,1.14
2003,1.24
2004,1.24
2005,1.07
2006,0.96
2007,0.91
2008,0.87
2009,0.82
2010,0.78
2011,0.79
2012,0.73
2013,0.71
2014,0.58
2015,0.53
2016,0.53
2017,0.52
2018,0.51
2019,0.46
2020,0.46
2021,0.43
