Year,연령별,Value
2017,만 1세,96.6
2017,만 2세,94.1
2017,만 3세,90.4
2017,만 6세,0.0
2018,만 1세,96.8
2018,만 2세,94.7
2018,만 3세,90.8
2018,만 6세,88.3
2019,만 1세,96.5
2019,만 2세,94.2
2019,만 3세,91.5
2019,만 6세,84.8
2020,만 1세,97.1
2020,만 2세,94.2
2020,만 3세,91.0
2020,만 6세,83.5
