Year,Units,Value
2012,ITPGRFA체결국,1
2013,ITPGRFA체결국,1
2014,ITPGRFA체결국,1
2015,ITPGRFA체결국,1
2016,ITPGRFA체결국,1
2017,ITPGRFA체결국,1
2018,ITPGRFA체결국,1
2019,ITPGRFA체결국,1
2012,나고야의정서 채택국,1
2016,ITPGRFA입법행정조치보유국,0
2017,ITPGRFA입법행정조치보유국,0
2018,ITPGRFA입법행정조치보유국,0
2019,ITPGRFA입법행정조치보유국,0
2012,ABS보고 입법행정조치보유국,0
2012,표준물질이전협정수,106
2013,표준물질이전협정수,132
2014,표준물질이전협정수,158
2015,표준물질이전협정수,191
2016,표준물질이전협정수,223
2017,표준물질이전협정수,253
2018,표준물질이전협정수,263
2019,표준물질이전협정수,267
