Year,Units,Sex,Value
2015,Secondary,Male,100
2015,Lower_secondary,,100
2015,Lower_secondary,Female,100
2015,Lower_secondary,Male,100
2015,Upper_secondary,,100
2015,Upper_secondary,Female,100
2015,Upper_secondary,Male,100
2016,Pre-primary,,100	
2016,Pre-primary,Female,100
2016,Pre-primary,Male,100
2016,Primary,,100
2016,Primary,Female,100
2016,Primary,Male,100
2016,Secondary,,100
2016,Secondary,Female,100
2016,Secondary,Male,100
2016,Lower_secondary,,100
2016,Lower_secondary,Female,100
2016,Lower_secondary,Male,100
2016,Upper_secondary,,100
2016,Upper_secondary,Female,100
2016,Upper_secondary,Male,100
2017,Pre-primary,,100	
2017,Pre-primary,Female,100
2017,Pre-primary,Male,100
2017,Primary,,100
2017,Primary,Female,100
2017,Primary,Male,100
2017,Secondary,,100
2017,Secondary,Female,100
2017,Secondary,Male,100
2017,Lower_secondary,,100
2017,Lower_secondary,Female,100
2017,Lower_secondary,Male,100
2017,Upper_secondary,,100
2017,Upper_secondary,Female,100
2017,Upper_secondary,Male,100
2018,Pre-primary,,100	
2018,Pre-primary,Female,100
2018,Pre-primary,Male,100
2018,Primary,,100
2018,Primary,Female,100
2018,Primary,Male,100
2018,Secondary,,100
2018,Secondary,Female,100
2018,Secondary,Male,100
2018,Lower_secondary,,100
2018,Lower_secondary,Female,100
2018,Lower_secondary,Male,100
2018,Upper_secondary,,100
2018,Upper_secondary,Female,100
2018,Upper_secondary,Male,100
2019,Pre-primary,,100	
2019,Pre-primary,Female,100
2019,Pre-primary,Male,100
2019,Primary,,100
2019,Primary,Female,100
2019,Primary,Male,100
2019,Secondary,,100
2019,Secondary,Female,100
2019,Secondary,Male,100
2019,Lower_secondary,,100
2019,Lower_secondary,Female,100
2019,Lower_secondary,Male,100
2019,Upper_secondary,,100
2019,Upper_secondary,Female,100
2019,Upper_secondary,Male,100
2020,Pre-primary,,100	
2020,Pre-primary,Female,100
2020,Pre-primary,Male,100
2020,Primary,,100
2020,Primary,Female,100
2020,Primary,Male,100
2020,Secondary,,100
2020,Secondary,Female,100
2020,Secondary,Male,100
2020,Lower_secondary,,100
2020,Lower_secondary,Female,100
2020,Lower_secondary,Male,100
2020,Upper_secondary,,100
2020,Upper_secondary,Female,100
2020,Upper_secondary,Male,100
