Year,구분,Value
2000,,502.865
2000,CO₂,443.682
2000,CH₄,27.79
2000,N₂O,17.877
2000,HFCs,8.443
2000,PFCs,2.25
2000,SF6,2.823
2001,,516.143
2001,CO₂,459.385
2001,CH₄,28.131
2001,N₂O,18.064
2001,HFCs,5.852
2001,PFCs,1.989
2001,SF6,2.722
2002,,538.629
2002,CO₂,478.866
2002,CH₄,28.334
2002,N₂O,17.888
2002,HFCs,8.653
2002,PFCs,1.973
2002,SF6,2.915
2003,,548.988
2003,CO₂,487.344
2003,CH₄,28.329
2003,N₂O,21.291
2003,HFCs,6.443
2003,PFCs,2.267
2003,SF6,3.314
2004,,557.254
2004,CO₂,492.765
2004,CH₄,27.39
2004,N₂O,23.805
2004,HFCs,6.591
2004,PFCs,2.774
2004,SF6,3.929
2005,,560.923
2005,CO₂,497.468
2005,CH₄,27.37
2005,N₂O,22.365
2005,HFCs,6.651
2005,PFCs,2.797
2005,SF6,4.272
2006,,567.309
2006,CO₂,504.051
2006,CH₄,27.28
2006,N₂O,21.642
2006,HFCs,6.098
2006,PFCs,2.925
2006,SF6,5.313
2007,,580.752
2007,CO₂,524.355
2007,CH₄,27.102
2007,N₂O,12.534
2007,HFCs,7.363
2007,PFCs,2.978
2007,SF6,6.42
2008,,593.854
2008,CO₂,537.699
2008,CH₄,27.052
2008,N₂O,11.965
2008,HFCs,6.881
2008,PFCs,2.793
2008,SF6,7.464
2009,,597.982
2009,CO₂,542.206
2009,CH₄,27.067
2009,N₂O,12.363
2009,HFCs,5.846
2009,PFCs,2.047
2009,SF6,8.453
2010,,656.324
2010,CO₂,595.325
2010,CH₄,27.553
2010,N₂O,13.003
2010,HFCs,8.088
2010,PFCs,2.265
2010,SF6,10.09
2011,,684.929
2011,CO₂,625.95
2011,CH₄,27.614
2011,N₂O,12.803
2011,HFCs,7.907
2011,PFCs,2.072
2011,SF6,8.583
2012,,688.307
2012,CO₂,627.798
2012,CH₄,27.473
2012,N₂O,13.369
2012,HFCs,8.694
2012,PFCs,2.268
2012,SF6,8.705
2013,,697.385
2013,CO₂,636.656
2013,CH₄,27.297
2013,N₂O,13.566
2013,HFCs,8.095
2013,PFCs,2.321
2013,SF6,9.45
2014,,691.933
2014,CO₂,629.871
2014,CH₄,27.076
2014,N₂O,13.589
2014,HFCs,8.538
2014,PFCs,2.427
2014,SF6,10.432
2015,,692.514
2015,CO₂,634.341
2015,CH₄,26.901
2015,N₂O,13.525
2015,HFCs,7.931
2015,PFCs,1.521
2015,SF6,8.295
2016,,693.535
2016,CO₂,637.394
2016,CH₄,26.957
2016,N₂O,13.505
2016,HFCs,7.366
2016,PFCs,1.489
2016,SF6,6.824
2017,,709.75
2017,CO₂,650.156
2017,CH₄,27.407
2017,N₂O,13.883
2017,HFCs,9.649
2017,PFCs,2.123
2017,SF6,6.532
2018,,727.634
2018,CO₂,664.727
2018,CH₄,27.678
2018,N₂O,14.373
2018,HFCs,9.305
2018,PFCs,3.18
2018,SF6,8.371
