Year,data.Sex,Value
2000,,0.9
2000,data.Male,1.0
2000,data.Female,0.7
2001,,0.8
2001,data.Male,1.0
2001,data.Female,0.6
2002,,0.6
2002,data.Male,0.8
2002,data.Female,0.4
2003,,0.5
2003,data.Male,0.7
2003,data.Female,0.5
2004,,0.5
2004,data.Male,0.7
2004,data.Female,0.3
2005,,0.6
2005,data.Male,0.7
2005,data.Female,0.4
2006,,0.6
2006,data.Male,0.8
2006,data.Female,0.4
2007,,0.5
2007,data.Male,0.7
2007,data.Female,0.2
2008,,0.5
2008,data.Male,0.7
2008,data.Female,0.2
2009,,0.4
2009,data.Male,0.6
2009,data.Female,0.2
2010,,0.4
2010,data.Male,0.7
2010,data.Female,0.2
2011,,0.4
2011,data.Male,0.6
2011,data.Female,0.2
2012,,0.6
2012,data.Male,0.8
2012,data.Female,0.3
2013,,0.5
2013,data.Male,0.7
2013,data.Female,0.3
2014,,0.4
2014,data.Male,0.5
2014,data.Female,0.3
2015,,0.4
2015,data.Male,0.6
2015,data.Female,0.3
2016,,0.6
2016,data.Male,0.8
2016,data.Female,0.4
2017,,0.6
2017,data.Male,0.8
2017,data.Female,0.3
2018,,0.6
2018,data.Male,0.8
2018,data.Female,0.3
2019,,0.4
2019,data.Male,0.6
2019,data.Female,0.3
2020,,0.5
2020,data.Male,0.7
2020,data.Female,0.3
2021,,0.5
2021,data.Male,0.7
2021,data.Female,0.3
