Year,data.Sex,Value
2000,,244
2000,data.Male,211
2000,data.Female,33
2001,,384
2001,data.Male,336
2001,data.Female,48
2002,,457
2002,data.Male,402
2002,data.Female,55
2003,,592
2003,data.Male,543
2003,data.Female,49
2004,,763
2004,data.Male,672
2004,data.Female,91
2005,,734
2005,data.Male,673
2005,data.Female,61
2006,,796
2006,data.Male,717
2006,data.Female,79
2007,,828
2007,data.Male,759
2007,data.Female,69
2008,,900
2008,data.Male,814
2008,data.Female,86
2009,,839
2009,data.Male,759
2009,data.Female,80
2010,,837
2010,data.Male,762
2010,data.Female,75
2011,,959
2011,data.Male,877
2011,data.Female,82
2012,,953
2012,data.Male,864
2012,data.Female,89
2013,,1114
2013,data.Male,1016
2013,data.Female,98
2014,,1191
2014,data.Male,1100
2014,data.Female,91
2015,,1152
2015,data.Male,1080
2015,data.Female,72
2016,,1197
2016,data.Male,1103
2016,data.Female,94
2017,,1190
2017,data.Male,1088
2017,data.Female,102
2018,,1206
2018,data.Male,1100
2018,data.Female,106
2019,,1222
2019,data.Male,1111
2019,data.Female,111
