Year,Value
2004,18.48
2005,18.09
2006,17.56
2007,17.18
2008,16.86
2009,16.36
2010,16.97
2011,16.94
2012,16.71
2013,17.02
2014,17.22
2015,17.59
2016,17.36
2017,17.09
2018,16.81
2019,16.33
2020,16.27
2021,16.02
