Year,data.Sex,Value
2000,,10.8
2000,data.Male,13.6
2000,data.Female,9.0
2001,,10.2
2001,data.Male,12.7
2001,data.Female,8.6
2002,,8.5
2002,data.Male,10.3
2002,data.Female,7.5
2003,,10.1
2003,data.Male,11.9
2003,data.Female,9.0
2004,,10.5
2004,data.Male,12.2
2004,data.Female,9.4
2005,,10.2
2005,data.Male,12.2
2005,data.Female,9.0
2006,,10.0
2006,data.Male,11.7
2006,data.Female,9.0
2007,,8.8
2007,data.Male,11.4
2007,data.Female,7.2
2008,,9.3
2008,data.Male,11.5
2008,data.Female,7.9
2009,,9.9
2009,data.Male,11.9
2009,data.Female,8.6
2010,,9.8
2010,data.Male,11.2
2010,data.Female,9.0
2011,,9.6
2011,data.Male,12.1
2011,data.Female,8.1
2012,,9.0
2012,data.Male,9.7
2012,data.Female,8.5
2013,,9.3
2013,data.Male,9.8
2013,data.Female,9.0
2014,,10.0
2014,data.Male,11.2
2014,data.Female,9.2
2015,,10.5
2015,data.Male,11.3
2015,data.Female,10.0
2016,,10.7
2016,data.Male,11.0
2016,data.Female,10.5
2017,,10.4
2017,data.Male,11.3
2017,data.Female,9.7
