Year,data.category,Value
2000,data.Freshwater,36.75545
2001,data.Freshwater,36.75545
2002,data.Freshwater,36.75545
2003,data.Freshwater,36.75545
2004,data.Freshwater,36.77034
2005,data.Freshwater,36.7755
2006,data.Freshwater,36.78096
2007,data.Freshwater,36.78133
2008,data.Freshwater,36.78133
2009,data.Freshwater,36.78133
2010,data.Freshwater,36.78133
2011,data.Freshwater,36.78133
2012,data.Freshwater,36.78133
2013,data.Freshwater,36.78861
2014,data.Freshwater,36.78861
2015,data.Freshwater,36.78861
2016,data.Freshwater,36.78861
2017,data.Freshwater,36.78861
2018,data.Freshwater,36.78861
2019,data.Freshwater,36.78861
2000,data.Land,24.81306
2001,data.Land,24.81306
2002,data.Land,24.81702
2003,data.Land,25.93083
2004,data.Land,25.94368
2005,data.Land,26.40017
2006,data.Land,29.51442
2007,data.Land,29.95778
2008,data.Land,33.37738
2009,data.Land,33.78673
2010,data.Land,33.78673
2011,data.Land,33.89474
2012,data.Land,36.39474
2013,data.Land,36.39729
2014,data.Land,36.39729
2015,data.Land,36.39827
2016,data.Land,36.39827
2017,data.Land,36.52263
2018,data.Land,37.47495
2019,data.Land,37.47495
