Year,Units,data.Type_of_product,Value
2002,data.Tonnes_per_capita,data.RAW,16.40868
2002,data.Tonnes_per_capita,data.WCH,0.05136
2002,data.Tonnes_per_capita,data.WOD,0.17131
2003,data.Tonnes_per_capita,data.BIM,1.46605
2003,data.Tonnes_per_capita,data.COL,1.59801
2003,data.Tonnes_per_capita,data.CPR,0.12626
2003,data.Tonnes_per_capita,data.CRO,0.92099
2003,data.Tonnes_per_capita,data.FEO,1.03335
2003,data.Tonnes_per_capita,data.FOF,4.18338
2003,data.Tonnes_per_capita,data.GAS,0.40281
2003,data.Tonnes_per_capita,data.GBO,0.24411
2003,data.Tonnes_per_capita,data.MEO,1.17819
2003,data.Tonnes_per_capita,data.NFO,1.03335
2003,data.Tonnes_per_capita,data.NMA,0.2468
2003,data.Tonnes_per_capita,data.NMC,10.2191
2003,data.Tonnes_per_capita,data.NMM,10.39961
2003,data.Tonnes_per_capita,data.PET,2.18255
2003,data.Tonnes_per_capita,data.RAW,17.22723
2003,data.Tonnes_per_capita,data.WCH,0.05153
2003,data.Tonnes_per_capita,data.WOD,0.14736
2004,data.Tonnes_per_capita,data.BIM,1.51267
2004,data.Tonnes_per_capita,data.COL,1.70817
2004,data.Tonnes_per_capita,data.CPR,0.1429
2004,data.Tonnes_per_capita,data.CRO,0.89248
2004,data.Tonnes_per_capita,data.FEO,1.09193
2004,data.Tonnes_per_capita,data.FOF,4.32256
2004,data.Tonnes_per_capita,data.GAS,0.45697
2004,data.Tonnes_per_capita,data.GBO,0.23973
2004,data.Tonnes_per_capita,data.MEO,1.23866
2004,data.Tonnes_per_capita,data.NFO,1.09193
2004,data.Tonnes_per_capita,data.NMA,0.24212
2004,data.Tonnes_per_capita,data.NMC,9.71176
2004,data.Tonnes_per_capita,data.NMM,9.86701
2004,data.Tonnes_per_capita,data.PET,2.15743
2004,data.Tonnes_per_capita,data.RAW,16.9409
2004,data.Tonnes_per_capita,data.WCH,0.05104
2004,data.Tonnes_per_capita,data.WOD,0.15668
2005,data.Tonnes_per_capita,data.BIM,1.49785
2005,data.Tonnes_per_capita,data.COL,1.64101
2005,data.Tonnes_per_capita,data.CPR,0.14057
2005,data.Tonnes_per_capita,data.CRO,0.91834
2005,data.Tonnes_per_capita,data.FEO,1.03742
2005,data.Tonnes_per_capita,data.FOF,4.1618
2005,data.Tonnes_per_capita,data.GAS,0.46594
2005,data.Tonnes_per_capita,data.GBO,0.24751
2005,data.Tonnes_per_capita,data.MEO,1.1816
2005,data.Tonnes_per_capita,data.NFO,1.03742
2005,data.Tonnes_per_capita,data.NMA,0.25106
2005,data.Tonnes_per_capita,data.NMC,8.45078
2005,data.Tonnes_per_capita,data.NMM,8.57685
2005,data.Tonnes_per_capita,data.PET,2.05486
2005,data.Tonnes_per_capita,data.RAW,15.41811
2005,data.Tonnes_per_capita,data.WCH,0.05181
2005,data.Tonnes_per_capita,data.WOD,0.1489
2006,data.Tonnes_per_capita,data.BIM,1.48967
2006,data.Tonnes_per_capita,data.COL,1.69432
2006,data.Tonnes_per_capita,data.CPR,0.13149
2006,data.Tonnes_per_capita,data.CRO,0.90558
2006,data.Tonnes_per_capita,data.FEO,1.01758
2006,data.Tonnes_per_capita,data.FOF,4.33492
2006,data.Tonnes_per_capita,data.GAS,0.52345
2006,data.Tonnes_per_capita,data.GBO,0.24834
2006,data.Tonnes_per_capita,data.MEO,1.16776
2006,data.Tonnes_per_capita,data.NFO,1.01758
2006,data.Tonnes_per_capita,data.NMA,0.24285
2006,data.Tonnes_per_capita,data.NMC,8.37002
2006,data.Tonnes_per_capita,data.NMM,8.48399
2006,data.Tonnes_per_capita,data.PET,2.11715
2006,data.Tonnes_per_capita,data.RAW,15.47633
2006,data.Tonnes_per_capita,data.WCH,0.05738
2006,data.Tonnes_per_capita,data.WOD,0.15061
2007,data.Tonnes_per_capita,data.BIM,1.4956
2007,data.Tonnes_per_capita,data.COL,1.8695
2007,data.Tonnes_per_capita,data.CPR,0.1256
2007,data.Tonnes_per_capita,data.CRO,0.89879
2007,data.Tonnes_per_capita,data.FEO,1.1562
2007,data.Tonnes_per_capita,data.FOF,4.50273
2007,data.Tonnes_per_capita,data.GAS,0.52676
2007,data.Tonnes_per_capita,data.GBO,0.26676
2007,data.Tonnes_per_capita,data.MEO,1.30204
2007,data.Tonnes_per_capita,data.NFO,1.1562
2007,data.Tonnes_per_capita,data.NMA,0.28044
2007,data.Tonnes_per_capita,data.NMC,8.73664
2007,data.Tonnes_per_capita,data.NMM,8.88469
2007,data.Tonnes_per_capita,data.PET,2.10648
2007,data.Tonnes_per_capita,data.RAW,16.18506
2007,data.Tonnes_per_capita,data.WCH,0.0566
2007,data.Tonnes_per_capita,data.WOD,0.1568
2008,data.Tonnes_per_capita,data.BIM,1.59138
2008,data.Tonnes_per_capita,data.COL,2.09385
2008,data.Tonnes_per_capita,data.CPR,0.14069
2008,data.Tonnes_per_capita,data.CRO,0.887
2008,data.Tonnes_per_capita,data.FEO,1.24597
2008,data.Tonnes_per_capita,data.FOF,4.66362
2008,data.Tonnes_per_capita,data.GAS,0.58261
2008,data.Tonnes_per_capita,data.GBO,0.28739
2008,data.Tonnes_per_capita,data.MEO,1.40848
2008,data.Tonnes_per_capita,data.NFO,1.24597
2008,data.Tonnes_per_capita,data.NMA,0.28739
2008,data.Tonnes_per_capita,data.NMC,8.41392
2008,data.Tonnes_per_capita,data.NMM,8.56701
2008,data.Tonnes_per_capita,data.PET,1.98716
2008,data.Tonnes_per_capita,data.RAW,16.23049
2008,data.Tonnes_per_capita,data.WCH,0.0515
2008,data.Tonnes_per_capita,data.WOD,0.1727
2009,data.Tonnes_per_capita,data.BIM,1.56158
2009,data.Tonnes_per_capita,data.COL,2.14173
2009,data.Tonnes_per_capita,data.CPR,0.14093
2009,data.Tonnes_per_capita,data.CRO,0.93606
2009,data.Tonnes_per_capita,data.FEO,0.95003
2009,data.Tonnes_per_capita,data.FOF,4.74703
2009,data.Tonnes_per_capita,data.GAS,0.53074
2009,data.Tonnes_per_capita,data.GBO,0.31552
2009,data.Tonnes_per_capita,data.MEO,1.11684
2009,data.Tonnes_per_capita,data.NFO,0.95003
2009,data.Tonnes_per_capita,data.NMA,0.21909
2009,data.Tonnes_per_capita,data.NMC,8.36765
2009,data.Tonnes_per_capita,data.NMM,8.48761
2009,data.Tonnes_per_capita,data.PET,2.07456
2009,data.Tonnes_per_capita,data.RAW,15.91306
2009,data.Tonnes_per_capita,data.WCH,0.04908
2009,data.Tonnes_per_capita,data.WOD,0.15229
2010,data.Tonnes_per_capita,data.BIM,1.51263
2010,data.Tonnes_per_capita,data.COL,2.44797
2010,data.Tonnes_per_capita,data.CPR,0.11914
2010,data.Tonnes_per_capita,data.CRO,0.9006
2010,data.Tonnes_per_capita,data.FEO,1.23568
2010,data.Tonnes_per_capita,data.FOF,5.27587
2010,data.Tonnes_per_capita,data.GAS,0.68616
2010,data.Tonnes_per_capita,data.GBO,0.28216
2010,data.Tonnes_per_capita,data.MEO,1.41969
2010,data.Tonnes_per_capita,data.NFO,1.23568
2010,data.Tonnes_per_capita,data.NMA,0.23441
2010,data.Tonnes_per_capita,data.NMC,7.59691
2010,data.Tonnes_per_capita,data.NMM,7.67472
2010,data.Tonnes_per_capita,data.PET,2.14173
2010,data.Tonnes_per_capita,data.RAW,15.8829
2010,data.Tonnes_per_capita,data.WCH,0.04503
2010,data.Tonnes_per_capita,data.WOD,0.18258
2011,data.Tonnes_per_capita,data.BIM,1.54034
2011,data.Tonnes_per_capita,data.COL,2.64631
2011,data.Tonnes_per_capita,data.CPR,0.1149
2011,data.Tonnes_per_capita,data.CRO,0.88031
2011,data.Tonnes_per_capita,data.FEO,1.25183
2011,data.Tonnes_per_capita,data.FOF,5.45373
2011,data.Tonnes_per_capita,data.GAS,0.72707
