Year,Units,Value
2004,data.Wastewater_generation,11946076
2004,data.Excretions,49053
2005,data.Wastewater_generation,16832611
2005,data.Excretions,47627
2006,data.Wastewater_generation,16919995
2006,data.Excretions,47094
2007,data.Wastewater_generation,16744875
2007,data.Excretions,44766
2008,data.Wastewater_generation,17113106
2008,data.Excretions,46420
2009,data.Wastewater_generation,16681388
2009,data.Excretions,48749
2010,data.Wastewater_generation,16111195
2010,data.Excretions,46189
2011,data.Wastewater_generation,18660763
2011,data.Excretions,42358
2012,data.Wastewater_generation,15722166
2012,data.Excretions,41747
2013,data.Wastewater_generation,15148299
2013,data.Excretions,62011
2014,data.Wastewater_generation,16256451
2014,data.Excretions,36447
2015,data.Wastewater_generation,14975476
2015,data.Excretions,37893
2016,data.Wastewater_generation,14392658
2016,data.Excretions,41343
