Year,Value
2001,2.6
2002,2.46
2003,2.76
2004,2.7
2005,2.25
2006,2.1
2007,1.92
2008,1.8
2009,1.57
2010,1.55
2011,1.47
2012,1.2
2013,1.25
2014,1.08
2015,1.01
2016,0.96
2017,1.05
2018,1.12
