Year,data.category,Value
2016,ecoli,35.33
2017,ecoli,32.39
2018,ecoli,38.63
2019,ecoli,37.08
2020,ecoli,37.66
2016,mrsa,53.3
2017,mrsa,53.3
2018,mrsa,47.1
2019,mrsa,48.61
2020,mrsa,47.55
