Year,Value,Units
2000,2514225,data.Production
2001,2665124,data.Production
2002,2476188,data.Production
2003,2487042,data.Production
2004,2519101,data.Production
2005,2714050,data.Production
2006,3032116,data.Production
2007,3274823,data.Production
2008,3361255,data.Production
2009,3182342,data.Production
2010,3110634,data.Production
2011,3255929,data.Production
2012,3183424,data.Production
2013,3135250,data.Production
2014,3304228,data.Production
2015,3337383,data.Production
2016,3269432,data.Production
2017,3724711,data.Production
2018,3770057,data.Production
2019,3860969,data.Production
2020,3712873,data.Production
2021,3832171,data.Production
2022 p),3603580,data.Production
2000,4066447411,data.Production_amount_of_money
2001,4252897861,data.Production_amount_of_money
2002,4205241656,data.Production_amount_of_money
2003,4770818670,data.Production_amount_of_money
2004,4731322329,data.Production_amount_of_money
2005,5049321385,data.Production_amount_of_money
2006,5285860057,data.Production_amount_of_money
2007,5751945576,data.Production_amount_of_money
2008,6345058101,data.Production_amount_of_money
2009,6924248502,data.Production_amount_of_money
2010,7425685572,data.Production_amount_of_money
2011,8072860450,data.Production_amount_of_money
2012,7689050760,data.Production_amount_of_money
2013,7226886951,data.Production_amount_of_money
2014,7351991851,data.Production_amount_of_money
2015,7257464629,data.Production_amount_of_money
2016,7476747061,data.Production_amount_of_money
2017,8566870876,data.Production_amount_of_money
2018,8608418348,data.Production_amount_of_money
2019,8366328166,data.Production_amount_of_money
2020,8832970810,data.Production_amount_of_money
2021,9281651650,data.Production_amount_of_money
2022 p),9241255027,data.Production_amount_of_money
