Year,Value,Units
2008,0.57191,data.G4_Non-performing_loans_to_total_gross_loans
2009,0.5845,data.G4_Non-performing_loans_to_total_gross_loans
2010,0.588,data.G4_Non-performing_loans_to_total_gross_loans
2011,0.48416,data.G4_Non-performing_loans_to_total_gross_loans
2012,0.59429,data.G4_Non-performing_loans_to_total_gross_loans
2013,0.57068,data.G4_Non-performing_loans_to_total_gross_loans
2014,0.48783,data.G4_Non-performing_loans_to_total_gross_loans
2015,0.45686,data.G4_Non-performing_loans_to_total_gross_loans
2016,0.46921,data.G4_Non-performing_loans_to_total_gross_loans
2017,0.35236,data.G4_Non-performing_loans_to_total_gross_loans
2018,0.25443,data.G4_Non-performing_loans_to_total_gross_loans
2019,0.25114,data.G4_Non-performing_loans_to_total_gross_loans
2020,0.2491,data.G4_Non-performing_loans_to_total_gross_loans
2008,0.6738,data.G5_Return_on_assets
2009,0.5452,data.G5_Return_on_assets
2010,0.7376,data.G5_Return_on_assets
2011,1.0388,data.G5_Return_on_assets
2012,0.6551,data.G5_Return_on_assets
2013,0.3232,data.G5_Return_on_assets
2014,0.4831,data.G5_Return_on_assets
2015,0.5303,data.G5_Return_on_assets
2016,0.3609,data.G5_Return_on_assets
2017,0.6696,data.G5_Return_on_assets
2018,0.7728,data.G5_Return_on_assets
2019,0.7179,data.G5_Return_on_assets
2020,0.70671,data.G5_Return_on_assets
2008,6.3523,data.G1_Regulatory_capital_to_assets
2009,7.2379,data.G1_Regulatory_capital_to_assets
2010,7.41,data.G1_Regulatory_capital_to_assets
2011,7.042,data.G1_Regulatory_capital_to_assets
2012,7.1448,data.G1_Regulatory_capital_to_assets
2013,7.392,data.G1_Regulatory_capital_to_assets
2014,7.3943,data.G1_Regulatory_capital_to_assets
2015,7.2538,data.G1_Regulatory_capital_to_assets
2016,7.7863,data.G1_Regulatory_capital_to_assets
2017,7.9296,data.G1_Regulatory_capital_to_assets
2018,7.8817,data.G1_Regulatory_capital_to_assets
2019,7.7341,data.G1_Regulatory_capital_to_assets
2020,7.5105,data.G1_Regulatory_capital_to_assets
2008,2.4248,data.G3_Non-performing_loans_net_of_provisions_to_capital
2009,2.4609,data.G3_Non-performing_loans_net_of_provisions_to_capital
2010,2.8975,data.G3_Non-performing_loans_net_of_provisions_to_capital
2011,2.5065,data.G3_Non-performing_loans_net_of_provisions_to_capital
