Year,Value
2007,12.2125
2008,27.3723
2009,53.081
2010,3.7559
2011,13.455
2012,6.0171
2013,56.3976
2014,21.9902
2015,34.1016
2016,25.5543
2017,25.1599
2018,13.5922
2019,12.3506
2020,39.2542
