Year,Value,Units
2000,15.5664,data.Tonnes_per_capita
2001,15.9449,data.Tonnes_per_capita
2002,16.2743,data.Tonnes_per_capita
2003,17.1738,data.Tonnes_per_capita
2004,16.7411,data.Tonnes_per_capita
2005,14.9622,data.Tonnes_per_capita
2006,15.3178,data.Tonnes_per_capita
2007,15.8315,data.Tonnes_per_capita
2008,16.049,data.Tonnes_per_capita
2009,15.5748,data.Tonnes_per_capita
2010,15.7299,data.Tonnes_per_capita
2011,15.4838,data.Tonnes_per_capita
2012,16.1614,data.Tonnes_per_capita
2013,16.4532,data.Tonnes_per_capita
2014,16.4997,data.Tonnes_per_capita
2015,17.2519,data.Tonnes_per_capita
2016,18.2648,data.Tonnes_per_capita
2017,18.5858,data.Tonnes_per_capita
2018,18.223,data.Tonnes_per_capita
2019,17.9679,data.Tonnes_per_capita
2000,0.9233,data.Kilograms_per_constant_2010_USD
2001,0.9082,data.Kilograms_per_constant_2010_USD
2002,0.8658,data.Kilograms_per_constant_2010_USD
2003,0.8906,data.Kilograms_per_constant_2010_USD
2004,0.8292,data.Kilograms_per_constant_2010_USD
2005,0.7136,data.Kilograms_per_constant_2010_USD
2006,0.6965,data.Kilograms_per_constant_2010_USD
2007,0.6826,data.Kilograms_per_constant_2010_USD
2008,0.6737,data.Kilograms_per_constant_2010_USD
2009,0.6509,data.Kilograms_per_constant_2010_USD
2010,0.6179,data.Kilograms_per_constant_2010_USD
2011,0.5895,data.Kilograms_per_constant_2010_USD
2012,0.6042,data.Kilograms_per_constant_2010_USD
2013,0.5996,data.Kilograms_per_constant_2010_USD
2014,0.5857,data.Kilograms_per_constant_2010_USD
2015,0.5982,data.Kilograms_per_constant_2010_USD
2016,0.6171,data.Kilograms_per_constant_2010_USD
2017,0.6101,data.Kilograms_per_constant_2010_USD
2018,0.5821,data.Kilograms_per_constant_2010_USD
2019,0.5631,data.Kilograms_per_constant_2010_USD
2000,737525100.131,data.Tonnes
2001,760671137.849,data.Tonnes
2002,781160332.7041,data.Tonnes
2003,828820891.9005,data.Tonnes
2004,811832152.1142,data.Tonnes
2005,728674789.9971,data.Tonnes
2006,748738938.1206,data.Tonnes
2007,776296395.4224,data.Tonnes
2008,789328578.817,data.Tonnes
2009,768574775.0705,data.Tonnes
2010,779346277.0813,data.Tonnes
2011,770877863.1924,data.Tonnes
2012,809051555.559,data.Tonnes
2013,828350448.5849,data.Tonnes
2014,835014649.9979,data.Tonnes
2015,876795357.688,data.Tonnes
2016,931200941.985,data.Tonnes
2017,949666842.9875,data.Tonnes
2018,932499258.9395,data.Tonnes
2019,920410002.584,data.Tonnes
