Year,Value
2000,34.055
2001,35.457
2002,34.657
2003,34.438
2004,34.603
2005,36.159
2006,39.187
2007,40.379
2008,48.401
2009,52.84
2010,56.887
2011,66.719
2012,73.655
2013,85.999
2014,112.941
2015,141.996
2016,183.465
2017,223.934
2018,272.621
2019,352.433
2020,409.567
