Year,Value
2000,2.6
2001,2.4
2002,2.7
2003,2.5
2004,2.4
2005,2.2
2006,2.2
2007,2.3
2008,1.7
2009,1.7
2010,1.8
2011,1.8
2012,1.8
2013,1.7
2014,1.6
2015,1.4
2016,1.3
2017,1.0
2018,0.9
2019,0.8
2020,0.7
2021,0.4
