Year,data.category,Value
2000,data.overweight,5.8
2001,data.overweight,5.9
2002,data.overweight,6.1
2003,data.overweight,6.2
2004,data.overweight,6.4
2005,data.overweight,6.6
2006,data.overweight,6.7
2007,data.overweight,6.9
2008,data.overweight,7.1
2009,data.overweight,7.2
2010,data.overweight,7.4
2011,data.overweight,7.6
2012,data.overweight,7.7
2013,data.overweight,7.9
2014,data.overweight,8.0
2015,data.overweight,8.2
2016,data.overweight,8.3
2017,data.overweight,8.5
2018,data.overweight,8.6
2019,data.overweight,8.7
2020,data.overweight,8.8
2003,data.underweight,0.9
2009,data.underweight,1.2
