Year,Value
2004,90.1
2005,90.7
2006,91.3
2007,92.1
2008,92.7
2009,93.5
2010,94.1
2011,94.6
2012,95.1
2013,95.7
2014,96.1
2015,96.5
2016,96.4
2017,96.8
2018,97.0
2019,97.3
2020,97.5
