Year,구분,Value
2000,재화수출,2.66973
2001,재화수출,2.42827
2002,재화수출,2.49957
2003,재화수출,2.55353
2004,재화수출,2.75201
2005,재화수출,2.70805
2006,재화수출,2.68362
2007,재화수출,2.6495
2008,재화수출,2.61341
2009,재화수출,2.89496
2010,재화수출,3.04881
2011,재화수출,3.02816
2012,재화수출,2.96079
2013,재화수출,2.95438
2014,재화수출,3.01632
2015,재화수출,3.18199
2016,재화수출,3.08948
2017,재화수출,3.23374
2018,재화수출,3.09402
2019,재화수출,2.85171
2020,재화수출,2.90392
2021,재화수출,2.88604
2005,서비스수출,1.88776
2006,서비스수출,1.87782
2007,서비스수출,1.96544
2008,서비스수출,2.23242
2009,서비스수출,1.98322
2010,서비스수출,2.08537
2011,서비스수출,2.02389
2012,서비스수출,2.24052
2013,서비스수출,2.11226
2014,서비스수출,2.13222
2015,서비스수출,1.94576
2016,서비스수출,1.86244
2017,서비스수출,1.61944
2018,서비스수출,1.69828
2019,서비스수출,1.65071
2020,서비스수출,1.73968
2021,서비스수출,2.02155
