Year,Units,성별,Value
2017,유치원,여성,100
2017,유치원,남성,100
2017,초등학교,,100
2017,초등학교,여성,100
2017,초등학교,남성,100
2017,중고등학교,,100
2017,중고등학교,여성,100
2017,중고등학교,남성,100
2017,고등학교,,100
2017,고등학교,여성,100
2017,고등학교,남성,100
2018,중학교,,100
2018,중학교,FemaleE,100
2018,중학교,남성,100
2018,유치원,,100	
2018,유치원,여성,100
2018,유치원,남성,100
2018,초등학교,,100
2018,초등학교,여성,100
2018,초등학교,남성,100
2018,중고등학교,,100
2018,중고등학교,여성,100
2018,중고등학교,남성,100
2018,고등학교,,100
2018,고등학교,여성,100
2018,고등학교,남성,100
2019,중학교,,100
2019,중학교,FemaleE,100
2019,중학교,남성,100
2019,유치원,,100	
2019,유치원,여성,100
2019,유치원,남성,100
2019,초등학교,,100
2019,초등학교,여성,100
2019,초등학교,남성,100
2019,중고등학교,,100
2019,중고등학교,여성,100
2019,중고등학교,남성,100
2019,고등학교,,100
2019,고등학교,여성,100
2019,고등학교,남성,100
2020,중학교,,100
2020,중학교,FemaleE,100
2020,중학교,남성,100
2020,유치원,,100	
2020,유치원,여성,100
2020,유치원,남성,100
2020,초등학교,,100
2020,초등학교,여성,100
2020,초등학교,남성,100
2020,중고등학교,,100
2020,중고등학교,여성,100
2020,중고등학교,남성,100
2020,고등학교,,100
2020,고등학교,여성,100
2020,고등학교,남성,100
